index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Prozesswaerme_2020_abs;Prozesswaerme_2025i_abs;Prozesswaerme_2025b_abs;Prozesswaerme_2030i_abs;Prozesswaerme_2030b_abs;Prozesswaerme_2035i_abs;Prozesswaerme_2035b_abs;Prozesswaerme_2040i_abs;Prozesswaerme_2040b_abs;Prozesswaerme_2045i_abs;Prozesswaerme_2045b_abs;Raumwaerme_2020_abs;Raumwaerme_2025i_abs;Raumwaerme_2025b_abs;Raumwaerme_2030i_abs;Raumwaerme_2030b_abs;Raumwaerme_2035i_abs;Raumwaerme_2035b_abs;Raumwaerme_2040i_abs;Raumwaerme_2040b_abs;Raumwaerme_2045i_abs;Raumwaerme_2045b_abs;Strom_2020_abs;Strom_2025i_abs;Strom_2025b_abs;Strom_2030i_abs;Strom_2030b_abs;Strom_2035i_abs;Strom_2035b_abs;Strom_2040i_abs;Strom_2040b_abs;Strom_2045i_abs;Strom_2045b_abs;Klima- und Prozesskaelte_2020_abs;Klima- und Prozesskaelte_2025i_abs;Klima- und Prozesskaelte_2025b_abs;Klima- und Prozesskaelte_2030i_abs;Klima- und Prozesskaelte_2030b_abs;Klima- und Prozesskaelte_2035i_abs;Klima- und Prozesskaelte_2035b_abs;Klima- und Prozesskaelte_2040i_abs;Klima- und Prozesskaelte_2040b_abs;Klima- und Prozesskaelte_2045i_abs;Klima- und Prozesskaelte_2045b_abs;Stoffl. Nutzung_2020_abs;Stoffl. Nutzung_2025i_abs;Stoffl. Nutzung_2025b_abs;Stoffl. Nutzung_2030i_abs;Stoffl. Nutzung_2030b_abs;Stoffl. Nutzung_2035i_abs;Stoffl. Nutzung_2035b_abs;Stoffl. Nutzung_2040i_abs;Stoffl. Nutzung_2040b_abs;Stoffl. Nutzung_2045i_abs;Stoffl. Nutzung_2045b_abs
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;368286;655462;599835;942638;831384;1105644;921576;1268651;1011767;1406762;1347798;9209;8850;8959;8491;8709;7804;8099;7117;7488;6515;6943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;;;;;;;;;;;;46047;56987;57861;67926;69675;79035;82259;90144;94844;99902;106455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PtH Erdwaermepumpe;2;2;2;2,1;2,2;2,4;0;12044;6022;24088;12044;33990;19190;43893;26336;52190;52190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solarthermie;1;1;1;1;1;1;0;3613;0;7226;0;9100;3292;10973;6584;10438;10438;0;2830;2903;5661;5806;6389;6647;7117;7488;8687;9257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;;;;;;;;;;;;85954;71280;72008;56605;58062;52025;53990;47444;49918;43436;46285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;438565;434180;434180;429794;429794;461633;433394;493471;436994;488331;488331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;;;;;;;;;;;;147350;126035;127383;104720;107415;77268;79914;49816;52414;26061;27771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;1978480;1566768;1685890;1155057;1393299;819177;1173523;483298;953747;74770;321064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0;74534;26697;149068;53393;243502;128094;337936;202794;565361;388468;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0;0;0;0;0;0;0;0;0;0;0;9209;4605;4605;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;271147;272317;266295;273486;261442;273425;267403;273364;273364;278849;268411;49117;44370;44880;39624;40644;37603;39041;35583;37438;32577;34714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
