index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Prozesswaerme_2020_abs;Prozesswaerme_2025i_abs;Prozesswaerme_2025b_abs;Prozesswaerme_2030i_abs;Prozesswaerme_2030b_abs;Prozesswaerme_2035i_abs;Prozesswaerme_2035b_abs;Prozesswaerme_2040i_abs;Prozesswaerme_2040b_abs;Prozesswaerme_2045i_abs;Prozesswaerme_2045b_abs;Raumwaerme_2020_abs;Raumwaerme_2025i_abs;Raumwaerme_2025b_abs;Raumwaerme_2030i_abs;Raumwaerme_2030b_abs;Raumwaerme_2035i_abs;Raumwaerme_2035b_abs;Raumwaerme_2040i_abs;Raumwaerme_2040b_abs;Raumwaerme_2045i_abs;Raumwaerme_2045b_abs;Strom_2020_abs;Strom_2025i_abs;Strom_2025b_abs;Strom_2030i_abs;Strom_2030b_abs;Strom_2035i_abs;Strom_2035b_abs;Strom_2040i_abs;Strom_2040b_abs;Strom_2045i_abs;Strom_2045b_abs;Klima- und Prozesskaelte_2020_abs;Klima- und Prozesskaelte_2025i_abs;Klima- und Prozesskaelte_2025b_abs;Klima- und Prozesskaelte_2030i_abs;Klima- und Prozesskaelte_2030b_abs;Klima- und Prozesskaelte_2035i_abs;Klima- und Prozesskaelte_2035b_abs;Klima- und Prozesskaelte_2040i_abs;Klima- und Prozesskaelte_2040b_abs;Klima- und Prozesskaelte_2045i_abs;Klima- und Prozesskaelte_2045b_abs;Stoffl. Nutzung_2020_abs;Stoffl. Nutzung_2025i_abs;Stoffl. Nutzung_2025b_abs;Stoffl. Nutzung_2030i_abs;Stoffl. Nutzung_2030b_abs;Stoffl. Nutzung_2035i_abs;Stoffl. Nutzung_2035b_abs;Stoffl. Nutzung_2040i_abs;Stoffl. Nutzung_2040b_abs;Stoffl. Nutzung_2045i_abs;Stoffl. Nutzung_2045b_abs
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;229723;384024;352937;538324;476150;625684;529242;713043;582335;794700;765339;4528;4351;4405;4174;4282;3836;3981;3499;3681;3203;3413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;;;;;;;;;;;;22638;28016;28446;33394;34254;38855;40440;44317;46627;49114;52335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PtH Erdwaermepumpe;2;2;2;2,1;2,2;2,4;0;8427;4213;16853;8427;23782;13426;30710;18426;36515;36515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solarthermie;1;1;1;1;1;1;0;2528;0;5056;0;6367;2303;7678;4607;7303;7303;0;1391;1427;2783;2854;3141;3268;3499;3681;4271;4551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;;;;;;;;;;;;42257;35043;35401;27828;28545;25576;26543;23325;24541;21354;22754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;286296;283433;283433;280570;280570;300636;282542;320703;284515;317362;317362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;;;;;;;;;;;;72440;61961;62624;51482;52807;37987;39288;24491;25768;12812;13653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;1104272;874817;942953;645362;781635;456840;650608;268318;519581;38931;163677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0;43060;16965;86120;33931;138159;77559;190197;121187;310679;222596;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0;0;0;0;0;0;0;0;0;0;0;4528;2264;2264;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;179592;180511;176298;181431;173004;181038;176825;180645;180645;184594;177291;24147;21813;22064;19480;19981;18487;19193;17493;18405;16015;17066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170536;211486;189210;252436;207883;290775;230646;373666;253408;454622;279783;;;;;;;;;;;
Elektrogeraete;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;558394;544744;539454;531094;520515;512822;502860;505129;485205;492626;468459;;;;;;;;;;;;;;;;;;;;;;
Materialnutzung Gas;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1920;1920;1920;1920;1920;1920;1920;1920;1920;1920;1920
Materialnutzung Biomasse;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20715;37984;20715;55253;20715;81156;20715;107060;20715;158867;20715
Materialnutzung Oel;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172690;155421;172690;138152;172690;112248;172690;86345;172690;34538;172690
Summe;;;;;;;1799883;1776800;1776800;1753716;1753716;1732506;1732506;1711295;1711295;1690084;1690084;170536;154839;156630;139142;142723;127882;132713;116623;122703;106769;113772;558394;544744;539454;531094;520515;512822;502860;505129;485205;492626;468459;170536;211486;189210;252436;207883;290775;230646;373666;253408;454622;279783;195325;195325;195325;195325;195325;195325;195325;195325;195325;195325;195325
