id;name;eer_2020;eer_2025;eer_2030;eer_2035;eer_2040;eer_2045;raumwaerme_2020_abs;prozesswaerme_2020_abs;klima_und_prozesskaelte_2020_abs;strom_2020_abs;raumwaerme_2025_abs;prozesswaerme_2025_abs;klima_und_prozesskaelte_2025_abs;strom_2025_abs;raumwaerme_2030_abs;prozesswaerme_2030_abs;klima_und_prozesskaelte_2030_abs;strom_2030_abs;raumwaerme_2035_abs;prozesswaerme_2035_abs;klima_und_prozesskaelte_2035_abs;strom_2035_abs;raumwaerme_2040_abs;prozesswaerme_2040_abs;klima_und_prozesskaelte_2040_abs;strom_2040_abs;raumwaerme_2045_abs;prozesswaerme_2045_abs;klima_und_prozesskaelte_2045_abs;strom_2045_abs
0;PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;83904;49248;0;0;65360;46512;0;0;60800;48640;0;0;56240;45600;0;0;51680;42560;0;0;48640;42560;0;0
1;PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;6992;0;0;0;104576;12920;0;0;182400;12160;0;0;208088;17100;0;0;227392;21280;0;0;340480;21280;0;0
2;PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4;4,2;6992;0;0;0;104576;12920;0;0;182400;12160;0;0;168720;13680;0;0;155040;14896;0;0;145920;21280;0;0
3;Solarthermie;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;16872;3420;0;0;31008;6384;0;0;48640;10640;0;0
4;Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;125856;24624;0;0;130720;23256;0;0;121600;24320;0;0;140600;28500;0;0;155040;31920;0;0;145920;42560;0;0
5;Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;629280;87552;0;0;457520;64600;0;0;304000;48640;0;0;224960;34200;0;0;155040;21280;0;0;48640;0;0;0
6;Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;307648;24624;0;0;209152;18088;0;0;121600;12160;0;0;84360;5700;0;0;51680;0;0;0;0;0;0;0
7;Kraftmaschine Oel;0,3;0,3;0,3;0,3;0,3;0,3;0;0;0;90896;0;0;0;73568;0;0;0;57456;0;0;0;27360;0;0;0;0;0;0;0;0
8;Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;237728;87552;0;0;235296;80104;0;0;243200;85120;0;0;224960;79800;0;0;206720;74480;0;0;194560;74480;0;0
9;Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;334400;0;0;0;364800;0;0;0;395200;0;0;0;440800;0;0;0;486400;0;0;0;547200;0
10;Elektrogeraete;1;1;1;1;1;1;0;0;0;608304;0;0;0;595232;0;0;0;580944;0;0;0;580640;0;0;0;577600;0;0;0;547200
