id;name;eer_2020;eer_2025;eer_2030;eer_2035;eer_2040;eer_2045;raumwaerme_2020_abs;prozesswaerme_2020_abs;klima_und_prozesskaelte_2020_abs;strom_2020_abs;raumwaerme_2025_abs;prozesswaerme_2025_abs;klima_und_prozesskaelte_2025_abs;strom_2025_abs;raumwaerme_2030_abs;prozesswaerme_2030_abs;klima_und_prozesskaelte_2030_abs;strom_2030_abs;raumwaerme_2035_abs;prozesswaerme_2035_abs;klima_und_prozesskaelte_2035_abs;strom_2035_abs;raumwaerme_2040_abs;prozesswaerme_2040_abs;klima_und_prozesskaelte_2040_abs;strom_2040_abs;raumwaerme_2045_abs;prozesswaerme_2045_abs;klima_und_prozesskaelte_2045_abs;strom_2045_abs
0;PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;96324;56538;0;0;75035;53397;0;0;69800;55840;0;0;64565;52350;0;0;59330;48860;0;0;55840;48860;0;0
1;PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;8027;0;0;0;120056;14832,5;0;0;209400;13960;0;0;238890,5;19631,25;0;0;261052;24430;0;0;390880;24430;0;0
2;PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4;4,2;8027;0;0;0;120056;14832,5;0;0;209400;13960;0;0;193695;15705;0;0;177990;17101;0;0;167520;24430;0;0
3;Solarthermie;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;19369,5;3926,25;0;0;35598;7329;0;0;55840;12215;0;0
4;Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;144486;28269;0;0;150070;26698,5;0;0;139600;27920;0;0;161412,5;32718,75;0;0;177990;36645;0;0;167520;48860;0;0
5;Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;722430;100512;0;0;525245;74162,5;0;0;349000;55840;0;0;258260;39262,5;0;0;177990;24430;0;0;55840;0;0;0
6;Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;353188;28269;0;0;240112;20765,5;0;0;139600;13960;0;0;96847,5;6543,75;0;0;59330;0;0;0;0;0;0;0
7;Kraftmaschine Oel;0,3;0,3;0,3;0,3;0,3;0,3;0;0;0;104351;0;0;0;84458;0;0;0;65961;0;0;0;31410;0;0;0;0;0;0;0;0
8;Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;272918;100512;0;0;270126;91961,5;0;0;279200;97720;0;0;258260;91612,5;0;0;237320;85505;0;0;223360;85505;0;0
9;Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;383900;0;0;0;418800;0;0;0;453700;0;0;0;506050;0;0;0;558400;0;0;0;628200;0
10;Elektrogeraete;1;1;1;1;1;1;0;0;0;698349;0;0;0;683342;0;0;0;666939;0;0;0;666590;0;0;0;663100;0;0;0;628200
