id;name;eer_2020;eer_2025;eer_2030;eer_2035;eer_2040;eer_2045;raumwaerme_2020_abs;prozesswaerme_2020_abs;klima_und_prozesskaelte_2020_abs;strom_2020_abs;raumwaerme_2025_abs;prozesswaerme_2025_abs;klima_und_prozesskaelte_2025_abs;strom_2025_abs;raumwaerme_2030_abs;prozesswaerme_2030_abs;klima_und_prozesskaelte_2030_abs;strom_2030_abs;raumwaerme_2035_abs;prozesswaerme_2035_abs;klima_und_prozesskaelte_2035_abs;strom_2035_abs;raumwaerme_2040_abs;prozesswaerme_2040_abs;klima_und_prozesskaelte_2040_abs;strom_2040_abs;raumwaerme_2045_abs;prozesswaerme_2045_abs;klima_und_prozesskaelte_2045_abs;strom_2045_abs
0;PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;54372;31914;0;0;42355;30141;0;0;39400;31520;0;0;36445;29550;0;0;33490;27580;0;0;31520;27580;0;0
1;PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;4531;0;0;0;67768;8372,5;0;0;118200;7880;0;0;134846,5;11081,25;0;0;147356;13790;0;0;220640;13790;0;0
2;PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4;4,2;4531;0;0;0;67768;8372,5;0;0;118200;7880;0;0;109335;8865;0;0;100470;9653;0;0;94560;13790;0;0
3;Solarthermie;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10933,5;2216,25;0;0;20094;4137;0;0;31520;6895;0;0
4;Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;81558;15957;0;0;84710;15070,5;0;0;78800;15760;0;0;91112,5;18468,75;0;0;100470;20685;0;0;94560;27580;0;0
5;Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;407790;56736;0;0;296485;41862,5;0;0;197000;31520;0;0;145780;22162,5;0;0;100470;13790;0;0;31520;0;0;0
6;Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;199364;15957;0;0;135536;11721,5;0;0;78800;7880;0;0;54667,5;3693,75;0;0;33490;0;0;0;0;0;0;0
7;Kraftmaschine Oel;0,3;0,3;0,3;0,3;0,3;0,3;0;0;0;58903;0;0;0;47674;0;0;0;37233;0;0;0;17730;0;0;0;0;0;0;0;0
8;Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;154054;56736;0;0;152478;51909,5;0;0;157600;55160;0;0;145780;51712,5;0;0;133960;48265;0;0;126080;48265;0;0
9;Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;216700;0;0;0;236400;0;0;0;256100;0;0;0;285650;0;0;0;315200;0;0;0;354600;0
10;Elektrogeraete;1;1;1;1;1;1;0;0;0;394197;0;0;0;385726;0;0;0;376467;0;0;0;376270;0;0;0;374300;0;0;0;354600
