index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Raumwaerme_2020_abs;Raumwaerme_2025i_abs;Raumwaerme_2025b_abs;Raumwaerme_2030i_abs;Raumwaerme_2030b_abs;Raumwaerme_2035i_abs;Raumwaerme_2035b_abs;Raumwaerme_2040i_abs;Raumwaerme_2040b_abs;Raumwaerme_2045i_abs;Raumwaerme_2045b_abs;Strom_2020_abs;Strom_2025i_abs;Strom_2025b_abs;Strom_2030i_abs;Strom_2030b_abs;Strom_2035i_abs;Strom_2035b_abs;Strom_2040i_abs;Strom_2040b_abs;Strom_2045i_abs;Strom_2045b_abs;Klima- und Prozesskaelte_2020_abs;Klima- und Prozesskaelte_2025i_abs;Klima- und Prozesskaelte_2025b_abs;Klima- und Prozesskaelte_2030i_abs;Klima- und Prozesskaelte_2030b_abs;Klima- und Prozesskaelte_2035i_abs;Klima- und Prozesskaelte_2035b_abs;Klima- und Prozesskaelte_2040i_abs;Klima- und Prozesskaelte_2040b_abs;Klima- und Prozesskaelte_2045i_abs;Klima- und Prozesskaelte_2045b_abs
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;147530;122335;122335;101468;101468;82337;88855;64408;66052;49972;50153;;;;;;;;;;;;;;;;;;;;;;
PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;55324;224281;224281;430469;430469;579102;619021;658397;662968;669631;687514;;;;;;;;;;;;;;;;;;;;;;
PtH Erdwaermepumpe;3,4;3,6;3,8;3,9;4;4,2;55324;132530;132530;230609;230609;301901;322838;336355;337600;339813;344802;;;;;;;;;;;;;;;;;;;;;;
Solarthermie;1;1;1;1;1;1;55324;64566;64566;73795;73795;76848;82931;78721;78284;73959;75230;;;;;;;;;;;;;;;;;;;;;;
Festbrennstoffkessel;0,77;0,8;0,85;0,87;0,88;0,88;497912;475748;475748;448918;448918;411684;438349;367366;369403;315826;319726;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Gas;0,89;0,91;0,93;0,95;0,96;0,98;1807237;1535987;1535987;1146894;1146894;823367;891508;536736;579791;241867;300918;;;;;;;;;;;;;;;;;;;;;;
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;700765;465554;465554;267506;267506;104293;127358;0;7339;0;0;;;;;;;;;;;;;;;;;;;;;;
Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;368824;377200;377200;375123;375123;365026;390960;343511;344939;307830;311367;;;;;;;;;;;;;;;;;;;;;;
Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;;;;;;;;;;;;;;;;;;;;;;;31690;38925;35324;48219;39709;59589;44531;73567;49891;91167;56106
Elektrogeraete;1;1;1;1;1;1;;;;;;;;;;;;697169;686445;679573;681610;668032;675199;655125;668193;641838;663747;631186;;;;;;;;;;;
