id;name;eer_2020;eer_2025;eer_2030;eer_2035;eer_2040;eer_2045;prozesswaerme_2020_abs;prozesswaerme_2025_abs;prozesswaerme_2030_abs;prozesswaerme_2035_abs;prozesswaerme_2040_abs;prozesswaerme_2045_abs;raumwaerme_2020_abs;raumwaerme_2025_abs;raumwaerme_2030_abs;raumwaerme_2035_abs;raumwaerme_2040_abs;raumwaerme_2045_abs;strom_2020_abs;strom_2025_abs;strom_2030_abs;strom_2035_abs;strom_2040_abs;strom_2045_abs;klima_und_prozesskaelte_2020_abs;klima_und_prozesskaelte_2025_abs;klima_und_prozesskaelte_2030_abs;klima_und_prozesskaelte_2035_abs;klima_und_prozesskaelte_2040_abs;klima_und_prozesskaelte_2045_abs;stoffl_nutzung_2020_abs;stoffl_nutzung_2025_abs;stoffl_nutzung_2030_abs;stoffl_nutzung_2035_abs;stoffl_nutzung_2040_abs;stoffl_nutzung_2045_abs
0;PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;368286;599835;831384;921576;1011767;1347798;9209;8959;8709;8099;7488;6943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;0;0;0;0;0;0;46047;57861;69675;82259;94844;106455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;PtH Erdwaermepumpe;2;2;2;2,1;2,2;2,4;0;6022;12044;19190;26336;52190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Solarthermie;1;1;1;1;1;1;0;0;0;3292;6584;10438;0;2903;5806;6647;7488;9257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;0;0;0;0;0;0;85954;72008;58062;53990;49918;46285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;438565;434180;429794;433394;436994;488331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;0;0;0;0;0;0;147350;127383;107415;79914;52414;27771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;1978480;1685890;1393299;1173523;953747;321064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0;26697;53393;128094;202794;388468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0;0;0;0;0;0;9209;4605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;271147;266295;261442;267403;273364;268411;49117;44880;40644;39041;37438;34714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;346887;384870;422853;469154;515455;569104;0;0;0;0;0;0
12;Elektrogeraete;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1135823;1097298;1058774;1022863;986951;952888;0;0;0;0;0;0;0;0;0;0;0;0
13;Materialnutzung Gas;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3171;3171;3171;3171;3171;1920
14;Materialnutzung Biomasse;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34212;34212;34212;176815;262377;20715
15;Materialnutzung Oel;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285207;285207;285207;142604;57041;172690
