id;name;eer_2020;eer_2025;eer_2030;eer_2035;eer_2040;eer_2045;prozesswaerme_2020_abs;prozesswaerme_2025_abs;prozesswaerme_2030_abs;prozesswaerme_2035_abs;prozesswaerme_2040_abs;prozesswaerme_2045_abs;raumwaerme_2020_abs;raumwaerme_2025_abs;raumwaerme_2030_abs;raumwaerme_2035_abs;raumwaerme_2040_abs;raumwaerme_2045_abs;strom_2020_abs;strom_2025_abs;strom_2030_abs;strom_2035_abs;strom_2040_abs;strom_2045_abs;klima_und_prozesskaelte_2020_abs;klima_und_prozesskaelte_2025_abs;klima_und_prozesskaelte_2030_abs;klima_und_prozesskaelte_2035_abs;klima_und_prozesskaelte_2040_abs;klima_und_prozesskaelte_2045_abs;stoffl_nutzung_2020_abs;stoffl_nutzung_2025_abs;stoffl_nutzung_2030_abs;stoffl_nutzung_2035_abs;stoffl_nutzung_2040_abs;stoffl_nutzung_2045_abs
0;PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;336130;489017;641903;709078;776252;1003094;7900;7686;7472;6948;6423;5956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;0;0;0;0;0;0;39502;49637;59772;70568;81364;91325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;PtH Erdwaermepumpe;2;2;2;2,1;2,2;2,4;0;8137;16274;25930;35586;70521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Solarthermie;1;1;1;1;1;1;0;0;0;4448;8897;14104;0;2491;4981;5702;6423;7941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;0;0;0;0;0;0;73738;61774;49810;46317;42823;39706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;157087;155516;153945;160138;166330;193349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;0;0;0;0;0;0;126408;109278;92149;68557;44964;23824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;1475245;1260930;1046616;857618;668620;209683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0;27524;55048;120058;185068;326379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0;0;0;0;0;0;7900;3950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;149256;144870;140484;148893;157303;152820;42136;38501;34867;33492;32117;29780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297585;330170;362754;402475;442195;488220;0;0;0;0;0;0
12;Elektrogeraete;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;974393;941344;908294;877487;846680;817458;0;0;0;0;0;0;0;0;0;0;0;0
13;Materialnutzung Gas;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3082;3082;3082;3082;3082;3082
14;Materialnutzung Biomasse;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33258;33258;33258;33258;33258;33258
15;Materialnutzung Oel;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277262;277262;277262;277262;277262;277262
