id;name;eer_2020;eer_2025;eer_2030;eer_2035;eer_2040;eer_2045;prozesswaerme_2020_abs;prozesswaerme_2025_abs;prozesswaerme_2030_abs;prozesswaerme_2035_abs;prozesswaerme_2040_abs;prozesswaerme_2045_abs;raumwaerme_2020_abs;raumwaerme_2025_abs;raumwaerme_2030_abs;raumwaerme_2035_abs;raumwaerme_2040_abs;raumwaerme_2045_abs;strom_2020_abs;strom_2025_abs;strom_2030_abs;strom_2035_abs;strom_2040_abs;strom_2045_abs;klima_und_prozesskaelte_2020_abs;klima_und_prozesskaelte_2025_abs;klima_und_prozesskaelte_2030_abs;klima_und_prozesskaelte_2035_abs;klima_und_prozesskaelte_2040_abs;klima_und_prozesskaelte_2045_abs;stoffl_nutzung_2020_abs;stoffl_nutzung_2025_abs;stoffl_nutzung_2030_abs;stoffl_nutzung_2035_abs;stoffl_nutzung_2040_abs;stoffl_nutzung_2045_abs
0;PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;388938;612341;835744;906049;976354;1298354;8363;8136;7909;7354;6799;6304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;PtH Luftwaermepumpe;3;3,2;3,4;3,5;3,6;3,8;0;0;0;0;0;0;41813;52541;63268;74696;86124;96667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;PtH Erdwaermepumpe;2;2;2;2,1;2,2;2,4;0;3782;7563;12051;16538;32773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Solarthermie;1;1;1;1;1;1;0;0;0;2067;4134;6555;0;2636;5272;6036;6799;8406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;0;0;0;0;0;0;78051;65387;52724;49026;45328;42029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;219590;217394;215198;219003;222807;252034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;0;0;0;0;0;0;133802;115670;97539;72567;47595;25217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;1875234;1594965;1314697;1117944;921191;331976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0;29799;59598;144505;229412;425018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0;0;0;0;0;0;8363;4181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Waermeuebergabestation;0,9;0,9;0,91;0,91;0,92;0,93;142159;139393;136627;141242;145857;143016;44601;40754;36907;35451;33996;31522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Kompressionskaelte;2,9;3,1;3,3;3,4;3,5;3,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314992,1465;349483;383974;426018;468062;516778;0;0;0;0;0;0
12;Elektrogeraete;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1031390;996408;961425;928816;896206;865275;0;0;0;0;0;0;0;0;0;0;0;0
13;Materialnutzung Gas;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2382;2382;2382;2382;2382;2382
14;Materialnutzung Biomasse;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25704;25704;25704;25704;25704;25704
15;Materialnutzung Oel;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214285;214285;214285;214285;214285;214285
