index;middle_2020;east_2020;swest_2020;north_2020;middle_2025;east_2025;swest_2025;north_2025;middle_2030;east_2030;swest_2030;north_2030;middle_2035;east_2035;swest_2035;north_2035;middle_2040;east_2040;swest_2040;north_2040;middle_2045;east_2045;swest_2045;north_2045;middle_2050;east_2050;swest_2050;north_2050
0;79,37289474;98,89364047;50,16793182;49,52443978;83,59000791;102,8843195;52,85179337;51,68791702;79,77835629;99,06092503;50,64599736;50,02472446;85,21693191;104,6557047;53,63930333;52,25793623;81,23927995;100,4369874;51,40686952;50,56487543;85,68767579;105,1362183;54,20380296;52,75578594;85,68767579;105,1362183;54,20380296;52,75578594
1;31,50853342;52,85056081;20,22808965;25,90635949;31,43513648;52,77793999;20,18041745;25,86207165;31,8557229;53,18113117;20,4281243;26,05846438;32,05243042;53,39469218;20,55454109;26,15168308;31,91980897;53,26495368;20,48208958;26,10043753;31,48006379;52,82577534;20,20580341;25,88160982;31,48006379;52,82577534;20,20580341;25,88160982
2;32,36225521;54,00360404;20,75919225;26,29661422;32,53471226;54,17714723;20,85049785;26,3651695;32,79860682;54,44524784;21,02248985;26,5038736;33,26485012;54,90049576;21,31061719;26,72938291;32,91081374;54,54892189;21,08654158;26,55297366;32,83974292;54,450472;21,08101339;26,56393174;32,83974292;54,450472;21,08101339;26,56393174
3;33,22625923;55,14471874;21,28504388;26,77895561;33,78218401;55,71515466;21,63469453;27,06552646;34,28553333;56,21219876;21,94796761;27,3174204;34,61155676;56,54043932;22,12518425;27,43785528;34,4146191;56,30450611;22,04339429;27,39684401;33,85259147;55,78855257;21,67665627;27,09455992;33,85259147;55,78855257;21,67665627;27,09455992
4;35,81665504;58,00959534;22,89866806;28,14009922;36,11174476;58,31604753;23,06861856;28,27114138;36,85467888;59,06072189;23,51656891;28,62628876;36,22572181;58,42514252;23,14280719;28,33012364;35,9568406;58,15419684;22,97289656;28,19596495;36,17019641;58,33472583;23,14332288;28,34693671;36,17019641;58,33472583;23,14332288;28,34693671
5;40,09310427;62,51569888;25,60638752;30,25767164;40,14214233;62,54780031;25,67409136;30,33152403;40,60525084;63,02964503;25,92338632;30,5197898;40,79806131;63,23220214;26,02815426;30,58664042;39,97176598;62,36712772;25,53094391;30,20048361;40,25219893;62,67330592;25,74773261;30,39481965;40,25219893;62,67330592;25,74773261;30,39481965
6;42,24382944;64,83622426;26,93465059;31,32498432;42,26348376;64,84778963;26,99634546;31,40141054;42,99474197;65,57099657;27,43463862;31,74355801;42,80936567;65,38669619;27,30266311;31,62839694;42,57713057;65,14041841;27,1658777;31,52350035;42,70957169;65,28626225;27,27337767;31,62127024;42,70957169;65,28626225;27,27337767;31,62127024
7;61,72189623;84,0539497;39,27843443;41,36239879;60,68340484;83,07754721;38,58117427;40,7882449;62,09696377;84,43625739;39,46877064;41,50436453;62,74461894;85,10872983;39,88963431;41,84587968;59,35591834;81,7109912;37,71463345;40,07306368;59,94481056;82,28778909;38,10608712;40,40127294;59,94481056;82,28778909;38,10608712;40,40127294
8;110,1354356;131,3621041;69,65630847;65,80655276;112,1429321;133,4401184;70,91454599;66,80142673;113,7651832;135,0060463;71,67651618;67,33466667;112,6147771;133,8452963;71,0865331;66,90267617;107,1203389;128,2805;67,62094506;64,0858036;108,9181072;130,0829597;68,70103311;64,94865624;108,9181072;130,0829597;68,70103311;64,94865624
9;169,0238957;186,6332631;107,0112484;95,46031499;170,4748488;188,3516464;107,9942706;96,29837506;163,8357536;181,1152338;104,318728;93,53195576;159,8168752;177,4886472;101,4411413;91,08717813;156,6558106;174,2527465;99,19009581;89,14626395;168,6590438;186,2081985;107,1820772;95,82024246;168,6590438;186,2081985;107,1820772;95,82024246
10;195,99953;211,4294273;124,1189091;108,8882396;190,4627498;205,9336318;120,8753292;106,3766824;190,7524693;206,1104177;121,0325695;106,389371;197,1402767;213,0089834;124,6642854;109,2285996;186,5519695;202,2972767;118,1771324;104,1065121;202,2891924;218,188123;128,0042417;112,0395779;202,2891924;218,188123;128,0042417;112,0395779
11;172,5418668;187,9964253;109,8396235;97,24046119;177,2115478;193,3260399;112,4665321;99,21041829;167,8134973;183,8689284;106,4026348;94,23123187;171,7552128;187,410555;108,7597984;96,13694246;163,4549666;179,7372648;104,0540962;92,53858898;174,8426646;190,383289;110,9420639;97,96190682;174,8426646;190,383289;110,9420639;97,96190682
12;132,6126857;148,1843167;84,34090841;76,44115293;129,2825731;145,9335868;81,35379032;73,62143412;122,0740821;138,3010591;77,27591202;70,51254813;132,2142093;147,953688;83,68444786;75,74539798;125,448758;141,8011527;79,42602893;72,23331087;126,614526;142,4898944;80,37730669;73,09025864;126,614526;142,4898944;80,37730669;73,09025864
13;118,0058235;133,9214827;74,98740719;68,70718196;117,6424331;134,1223541;74,52425868;68,22332441;119,037802;135,2261819;75,68148777;69,29268161;128,37347;144,3963563;81,68244539;74,18227307;123,1680338;139,4955318;78,16973597;71,20284194;116,4621205;132,7295494;73,89886449;67,76954709;116,4621205;132,7295494;73,89886449;67,76954709
