id;2020;2025;2030;2035;2040;2045;2050
0;98,89364047;102,8843195;99,06092503;104,6557047;100,4369874;105,1362183;105,1362183
1;52,85056081;52,77793999;53,18113117;53,39469218;53,26495368;52,82577534;52,82577534
2;54,00360404;54,17714723;54,44524784;54,90049576;54,54892189;54,450472;54,450472
3;55,14471874;55,71515466;56,21219876;56,54043932;56,30450611;55,78855257;55,78855257
4;58,00959534;58,31604753;59,06072189;58,42514252;58,15419684;58,33472583;58,33472583
5;62,51569888;62,54780031;63,02964503;63,23220214;62,36712772;62,67330592;62,67330592
6;64,83622426;64,84778963;65,57099657;65,38669619;65,14041841;65,28626225;65,28626225
7;84,0539497;83,07754721;84,43625739;85,10872983;81,7109912;82,28778909;82,28778909
8;131,3621041;133,4401184;135,0060463;133,8452963;128,2805;130,0829597;130,0829597
9;186,6332631;188,3516464;181,1152338;177,4886472;174,2527465;186,2081985;186,2081985
10;211,4294273;205,9336318;206,1104177;213,0089834;202,2972767;218,188123;218,188123
11;187,9964253;193,3260399;183,8689284;187,410555;179,7372648;190,383289;190,383289
12;148,1843167;145,9335868;138,3010591;147,953688;141,8011527;142,4898944;142,4898944
13;133,9214827;134,1223541;135,2261819;144,3963563;139,4955318;132,7295494;132,7295494
14;194,2183828;188,7146462;185,6804975;200,0001906;192,4877722;172,4003093;172,4003093
15;236,5467332;237,1235505;229,0409391;231,9645068;236,7355737;219,3656649;219,3656649
16;221,9745685;225,7530104;216,8480978;211,8559891;217,2065481;222,4108667;222,4108667
17;159,2278891;152,9093027;149,0931842;153,2850224;147,7367947;150,6807188;150,6807188
18;161,8640416;155,7476195;154,2839142;158,8636935;157,492896;155,9988372;155,9988372
19;227,2976682;220,2154002;227,3357061;225,1136564;229,5243303;222,5657166;222,5657166
20;245,982357;239,702211;239,0052037;241,0836561;237,0407498;237,1263073;237,1263073
21;199,4842384;193,0803629;192,7308141;191,4286346;195,8716796;193,4193703;193,4193703
22;165,9072236;172,9037591;167,8820765;172,8889668;161,4489583;164,4732422;164,4732422
23;159,865769;161,9238412;155,9827159;157,4147184;162,976779;163,4405056;163,4405056
24;47,26197177;48,77540516;47,44346947;47,87564379;47,20912762;47,97196118;47,97196118
25;48,03686901;48,44771693;47,37409983;48,14731997;47,75594054;47,63827332;47,63827332
26;48,34989995;48,77027864;47,71589414;49,03290257;48,35274947;48,6166795;48,6166795
27;49,04256299;49,23879316;49,18104696;49,16680935;49,25760135;49,58999397;49,58999397
28;50,151961;50,79409645;49,95145925;50,92238151;50,41790229;51,37120666;51,37120666
29;54,86228327;55,0157591;54,46432605;54,88777002;54,61013066;54,58836072;54,58836072
30;87,77687793;94,24371744;90,46169323;90,82477819;86,86589551;93,440486;93,440486
31;215,8615346;217,905126;215,6852419;210,7809982;216,9979716;210,1517565;210,1517565
32;209,9739482;205,1532365;212,3801734;212,7695297;202,4440197;205,1848515;205,1848515
33;133,6441733;131,9453827;133,1128806;135,7899924;131,5323023;137,921245;137,921245
34;109,4550363;110,6481627;98,79943719;103,7673723;107,5454918;109,7048674;109,7048674
35;109,0891586;107,5708775;98,49972111;100,6646015;108,0048515;107,5068047;107,5068047
36;106,4933498;102,2802006;101,9209514;96,30464252;101,3717437;101,8658779;101,8658779
37;103,3742305;98,60375511;102,0586522;92,72465774;97,15585286;97,39819734;97,39819734
38;122,7883511;120,7951389;115,0688216;117,263715;121,0673226;113,7204534;113,7204534
39;136,5680637;136,1570966;131,9645257;136,4422548;134,7519148;126,4503287;126,4503287
40;142,1864908;140,9861502;134,2584876;140,8265978;141,4405992;129,5430207;129,5430207
41;111,3544046;107,7848631;102,521274;111,7809405;103,7949553;99,17263489;99,17263489
42;120,2822492;115,3809783;105,919342;119,24784;112,4345216;119,2906784;119,2906784
43;223,3353002;225,4373683;224,5499874;227,4136266;218,5086022;232,3397807;232,3397807
44;276,094211;288,3908982;287,4318639;285,1386427;285,3022528;300,4253724;300,4253724
45;234,2183264;232,5307999;248,2884449;236,7913118;237,2413335;245,5145296;245,5145296
46;211,4737329;210,7114634;199,2822769;209,5143965;215,719855;193,4030953;193,4030953
47;182,7888118;180,8691435;174,587576;177,8546168;181,0001437;182,9184848;182,9184848
48;39,53956554;39,40749305;40,75200285;39,50639122;39,207432;39,98514857;39,98514857
49;41,0718297;40,74972078;41,85734962;41,41431331;40,64951486;40,81269249;40,81269249
50;42,6105366;43,27827935;43,44036919;43,11955266;42,63164299;42,73336336;42,73336336
51;44,2859519;44,86368866;45,21469656;45,02189045;44,28779436;44,36752784;44,36752784
52;46,96117559;47,5574699;47,52238018;46,66742891;46,9644431;46,09228717;46,09228717
53;52,21943596;52,06882299;51,34292041;51,09186712;51,88690024;51,12362165;51,12362165
54;89,24952429;84,99920503;88,11657475;84,15030983;90,27235775;88,63523479;88,63523479
55;216,1061317;214,857358;210,4506992;218,5074225;211,2638325;206,9985333;206,9985333
56;206,7971538;205,3936486;217,2509285;211,172197;201,9321757;203,4520571;203,4520571
57;130,5280336;134,9354688;139,4138973;137,8756978;129,0124517;126,781597;126,781597
58;110,1394587;108,1019705;108,7058797;112,2737273;109,4698948;108,6378625;108,6378625
59;109,846981;113,1747006;109,0380371;108,8048301;106,1848509;114,2729682;114,2729682
60;109,6587348;114,2817014;107,3343057;108,1103719;106,830577;115,3133586;115,3133586
61;104,2253929;103,993791;105,872439;105,1569241;106,5421576;112,6456008;112,6456008
62;127,2386854;125,2015254;123,5303381;123,3017235;130,4916482;130,1512195;130,1512195
63;144,2650566;143,8681242;142,7156898;143,6154692;137,337409;142,934971;142,934971
64;145,3702176;142,9720054;145,2147637;140,623219;139,2775996;143,9941355;143,9941355
65;107,2214641;107,6587641;111,4915964;109,357068;107,4029735;108,4561553;108,4561553
66;120,3523222;116,5484808;125,0917455;120,4502002;125,0626015;123,5809938;123,5809938
67;234,9042841;232,5209727;238,3460844;241,5120594;228,9765251;235,8838023;235,8838023
68;295,9090065;305,0340588;292,1065863;295,1902168;294,1689691;289,120596;289,120596
69;244,0111508;243,3280099;254,061764;236,2873393;235,5996174;241,6803588;241,6803588
70;210,8024267;207,9413968;218,9093162;207,6085729;208,6920747;219,4787273;219,4787273
71;184,5418255;191,1594828;181,1930439;192,2845011;184,6417973;179,8897176;179,8897176
