id;2020;2025;2030;2035;2040;2045;2050
0;79,37289474;83,59000791;79,77835629;85,21693191;81,23927995;85,68767579;85,68767579
1;31,50853342;31,43513648;31,8557229;32,05243042;31,91980897;31,48006379;31,48006379
2;32,36225521;32,53471226;32,79860682;33,26485012;32,91081374;32,83974292;32,83974292
3;33,22625923;33,78218401;34,28553333;34,61155676;34,4146191;33,85259147;33,85259147
4;35,81665504;36,11174476;36,85467888;36,22572181;35,9568406;36,17019641;36,17019641
5;40,09310427;40,14214233;40,60525084;40,79806131;39,97176598;40,25219893;40,25219893
6;42,24382944;42,26348376;42,99474197;42,80936567;42,57713057;42,70957169;42,70957169
7;61,72189623;60,68340484;62,09696377;62,74461894;59,35591834;59,94481056;59,94481056
8;110,1354356;112,1429321;113,7651832;112,6147771;107,1203389;108,9181072;108,9181072
9;169,0238957;170,4748488;163,8357536;159,8168752;156,6558106;168,6590438;168,6590438
10;195,99953;190,4627498;190,7524693;197,1402767;186,5519695;202,2891924;202,2891924
11;172,5418668;177,2115478;167,8134973;171,7552128;163,4549666;174,8426646;174,8426646
12;132,6126857;129,2825731;122,0740821;132,2142093;125,448758;126,614526;126,614526
13;118,0058235;117,6424331;119,037802;128,37347;123,1680338;116,4621205;116,4621205
14;180,156009;174,1317039;170,9648576;185,7036773;177,8254749;157,4367152;157,4367152
15;223,371544;223,6180886;215,2450818;218,6254967;222,4699646;205,3260974;205,3260974
16;207,6632052;210,7827307;201,7549944;196,1956598;202,1763806;207,1802478;207,1802478
17;143,7454101;136,6708413;132,8783582;137,3074471;131,4897738;134,5499954;134,5499954
18;146,9073115;140,5453079;139,5483881;144,3563064;142,5521709;141,1812079;141,1812079
19;214,377678;207,2655679;214,5050123;212,0990652;216,0181932;209,6681208;209,6681208
20;234,1875911;227,9467061;226,6480121;229,2930064;224,43889;224,9991009;224,9991009
21;186,6132455;180,4451697;179,7554023;178,3866674;183,0317463;180,5234827;180,5234827
22;152,9660427;159,6950247;154,8245643;159,702534;147,9572976;150,9367477;150,9367477
23;147,2867425;148,9309559;143,0253581;144,7998123;149,7807613;150,6279697;150,6279697
24;32,75019567;34,29732957;32,95886081;33,35055474;32,69587499;33,47572593;33,47572593
