id;2020;2025;2030;2035;2040;2045;2050
0;50,16793182;52,85179337;50,64599736;53,63930333;51,40686952;54,20380296;54,20380296
1;20,22808965;20,18041745;20,4281243;20,55454109;20,48208958;20,20580341;20,20580341
2;20,75919225;20,85049785;21,02248985;21,31061719;21,08654158;21,08101339;21,08101339
3;21,28504388;21,63469453;21,94796761;22,12518425;22,04339429;21,67665627;21,67665627
4;22,89866806;23,06861856;23,51656891;23,14280719;22,97289656;23,14332288;23,14332288
5;25,60638752;25,67409136;25,92338632;26,02815426;25,53094391;25,74773261;25,74773261
6;26,93465059;26,99634546;27,43463862;27,30266311;27,1658777;27,27337767;27,27337767
7;39,27843443;38,58117427;39,46877064;39,88963431;37,71463345;38,10608712;38,10608712
8;69,65630847;70,91454599;71,67651618;71,0865331;67,62094506;68,70103311;68,70103311
9;107,0112484;107,9942706;104,318728;101,4411413;99,19009581;107,1820772;107,1820772
10;124,1189091;120,8753292;121,0325695;124,6642854;118,1771324;128,0042417;128,0042417
11;109,8396235;112,4665321;106,4026348;108,7597984;104,0540962;110,9420639;110,9420639
12;84,34090841;81,35379032;77,27591202;83,68444786;79,42602893;80,37730669;80,37730669
13;74,98740719;74,52425868;75,68148777;81,68244539;78,16973597;73,89886449;73,89886449
14;113,8081408;109,7537776;108,0487893;117,4691385;112,2174563;99,13246651;99,13246651
15;140,9529212;140,805088;135,7808483;138,2419721;140,1388825;129,3599672;129,3599672
16;131,4617858;132,8220928;127,4364911;123,4503085;127,9011834;130,9248859;130,9248859
17;91,63212065;86,75453176;84,49769633;87,44451158;83,47809009;85,65247561;85,65247561
18;93,28710556;89,17188126;88,92935934;92,00197836;90,46570446;89,78673966;89,78673966
19;135,7329489;131,0701523;135,7745066;134,1887802;135,9309963;132,5819278;132,5819278
20;148,3967219;144,2934623;142,9424239;144,9708306;141,4799095;141,916785;141,916785
21;117,7516022;114,0873417;113,3368103;112,4604211;115,6046487;113,8733195;113,8733195
22;96,26384902;100,1254838;97,37988016;100,5316263;93,27198632;94,97816594;94,97816594
23;92,84955443;93,51954932;89,93466522;91,53659411;94,27154564;95,18472432;95,18472432
24;20,89290473;21,85915385;21,01604304;21,25294021;20,8856947;21,36748813;21,36748813
25;22,01456645;22,30100517;21,59458462;22,09111472;21,84665424;21,78371467;21,78371467
26;22,67016979;22,91908861;22,23200627;23,10009396;22,64476874;22,83483172;22,83483172
27;23,4121958;23,54819735;23,48047232;23,47027086;23,53187424;23,75348058;23,75348058
28;24,52247672;24,90201248;24,36287712;25,00519929;24,70099262;25,25742492;25,25742492
29;27,82604522;27,94510996;27,57788506;27,83162312;27,69348089;27,69063895;27,69063895
30;49,0574042;52,74260945;50,51476022;50,76352993;48,28262472;52,47050763;52,47050763
31;131,2960677;132,255414;131,1608919;127,1839701;131,5012685;127,6076532;127,6076532
32;128,1749;125,3856003;129,8355485;130,3941426;123,331553;125,5556008;125,5556008
33;82,38191061;80,85583854;81,84216208;83,52452198;80,81554075;85,56903433;85,56903433
34;68,77366957;69,1060233;61,06584735;64,24729572;66,65887423;68,66278831;68,66278831
35;69,02356847;68,06859378;62,14499052;63,28515471;68,12895065;67,96066302;67,96066302
36;68,24106297;65,01547592;65,02944148;61,59312766;64,64402318;65,10985907;65,10985907
37;66,62218019;63,25953059;65,22843668;59,72602979;62,10055217;62,45304886;62,45304886
38;81,39201037;79,72831219;75,45598396;77,54437862;80,19280037;74,93504509;74,93504509
39;90,85621879;89,76771781;87,02162874;90,2827927;89,09224778;83,8681092;83,8681092
40;93,86457149;92,38519695;87,18820846;92,44267755;93,28700058;84,94087357;84,94087357
41;71,28321634;68,91187785;65,13531856;71,5304409;66,1628641;62,72336335;62,72336335
42;77,11870912;73,44183569;67,61138933;76,5148824;71,80243075;76,28852471;76,28852471
43;142,6912544;142,8396116;143,1287876;145,0953976;139,6924491;148,2217175;148,2217175
44;175,9672745;183,448263;181,7093302;181,2634786;181,3282945;191,2329173;191,2329173
45;147,6774603;146,8010443;155,5943773;149,5877034;148,6235729;154,7220463;154,7220463
46;132,3852814;131,8990985;125,1165434;131,4675825;135,3993651;121,2055788;121,2055788
47;114,2900308;113,1354019;109,6326382;111,2687004;113,0030561;114,7869275;114,7869275
48;23,07452364;22,91548828;23,78579879;22,99230292;22,90987437;23,30746519;23,30746519
49;23,61949479;23,38236773;24,11850942;23,83821081;23,3860283;23,46568729;23,46568729
50;24,16158476;24,52947138;24,70078899;24,42040763;24,22590207;24,22312405;24,22312405
51;25,01348347;25,34601283;25,59736329;25,44640279;25,02309245;25,07576208;25,07576208
52;26,44218719;26,77981559;26,77206685;26,26475037;26,46948399;25,93894411;25,93894411
53;29,46407582;29,37308503;28,90975582;28,79175489;29,2395908;28,78061577;28,78061577
54;52,63087171;50,05319486;52,12294452;49,59114098;53,19735651;52,37644006;52,37644006
55;133,4238199;132,591926;130,3402017;134,9738711;130,7560946;127,8910089;127,8910089
56;128,5137438;127,1815316;134,9768809;131,2736536;125,2656423;125,4102457;125,4102457
57;79,29582069;81,7786501;85,0313523;83,83953206;78,16890631;76,24278;76,24278
58;65,31063286;64,23211235;64,01167286;66,68164573;64,47739159;63,87213707;63,87213707
59;63,60780231;66,49988441;63,33860339;63,01890487;60,94879347;66,30774346;66,30774346
60;63,45165631;66,7512181;62,15506999;62,3632433;61,10895299;67,11266218;67,11266218
61;60,13563525;59,59972996;61,30131537;60,66082925;61,40082424;65,97568274;65,97568274
62;77,27370842;75,8316528;74,32395149;74,19991446;79,17932268;78,95539352;78,95539352
63;89,27464668;89,16570784;87,61074826;88,67795405;84,26613044;88,0357305;88,0357305
