id; ta
0;4,3
1;4
2;3,6
3;3,5
4;3,3
5;3,1
6;2,9
7;2,8
8;2,8
9;3,9
10;4,7
11;5,3
12;6
13;6,2
14;6,3
15;5,9
16;5,2
17;5
18;4,9
19;4,7
20;4,6
21;4,4
22;4,2
23;4
24;3,9
25;3,8
26;3,8
27;3,8
28;3,8
29;3,8
30;3,8
31;3,8
32;3,9
33;5,1
34;6,3
35;7,4
36;8,1
37;8,5
38;8,4
39;7,9
40;7,2
41;6,9
42;6,7
43;6,4
44;6,1
45;5,9
46;5,6
47;5,3
48;4,9
49;4,6
50;4,1
51;3,9
52;3,7
53;3,5
54;3,3
55;3,2
56;3,4
57;4,7
58;5,7
59;7,3
60;7,8
61;7,3
62;7
63;6,5
64;5,7
65;5,5
66;5,3
67;5,1
68;4,9
69;4,8
70;4,6
71;4,4
72;4,2
73;4
74;3,8
75;3,6
76;3,7
77;3,6
78;3,5
79;3,4
80;3,5
81;3,9
82;4,4
83;4,8
84;5
85;5
86;5
87;4,8
88;4,5
89;4,3
90;4,1
91;3,9
92;3,7
93;3,5
94;3,2
95;3,1
96;2,8
97;2,8
98;2,6
99;2,5
100;2,4
101;2,4
102;2,3
103;2,3
104;2,4
105;3,3
106;4
107;4,5
108;4,8
109;4,9
110;4,7
111;4,3
112;3,9
113;3,7
114;3,4
115;3,2
116;2,9
117;2,7
118;2,4
119;2,1
120;1,8
121;1,5
122;1,2
123;1,1
124;0,9
125;0,8
126;0,7
127;0,6
128;0,7
129;1,9
130;3,1
131;4,2
132;4,9
133;5,2
134;5
135;4,5
136;3,7
137;3,4
138;3
139;2,7
140;2,4
141;2,1
142;1,7
143;1,4
144;1,1
145;0,7
146;0,4
147;0,2
148;0
149;-0,2
150;-0,3
151;-0,5
152;-0,3
153;0,9
154;2,1
155;3,4
156;4
157;4,3
158;4,2
159;3,6
160;2,7
161;2,5
162;2,3
163;2,1
164;2
165;1,8
166;1,6
167;1,4
168;1,3
169;1,1
170;1,1
171;1,1
172;1,1
173;1,1
174;1,1
175;1,1
176;1,2
177;2,4
178;3,5
179;4,6
180;5,2
181;5,6
182;5,7
183;5,3
184;4,7
185;4,2
186;3,8
187;3,3
188;2,8
189;2,4
190;1,9
191;1,5
192;0,5
193;-0,5
194;-1,6
195;-2,2
196;-2,7
197;-3,3
198;-3,7
199;-4,1
200;-4,1
201;-3,3
202;-2,1
203;-1
204;0
205;0,5
206;0,7
207;0,2
208;-0,9
209;-1,5
210;-2
211;-2,5
212;-3,1
213;-3,6
214;-4,1
215;-4,7
216;-4,9
217;-5
218;-5,1
219;-5,2
220;-5,2
221;-5,3
222;-5,3
223;-5,4
224;-5,2
225;-4,8
226;-4,3
227;-4
228;-3,8
229;-2,3
230;-1,8
231;-1,8
232;-2,4
233;-2,8
234;-3,2
235;-3,6
236;-4,1
237;-4,5
238;-4,9
239;-5,3
240;-5,9
241;-6,5
242;-7,1
243;-7,4
244;-7,7
245;-8,1
246;-8,3
247;-8,5
248;-8,4
249;-7
250;-5,5
251;-4,4
252;-3,7
253;-3,4
254;-3,6
255;-4,3
256;-5,2
257;-5,7
258;-6,1
259;-6,5
260;-7
261;-7,4
262;-7,8
263;-8,3
264;-8,6
265;-8,9
266;-9,2
267;-9,4
268;-9,5
269;-9,7
270;-9,8
271;-9,9
272;-9,9
273;-9,7
274;-9,2
275;-8,4
276;-7,8
277;-7,3
278;-7,1
279;-7,2
280;-7,8
281;-8
282;-8,3
283;-8,6
284;-8,8
285;-9
286;-9,3
287;-9,5
288;-9,7
289;-9,9
290;-10
291;-10,1
292;-10,1
293;-10,2
294;-10,2
295;-10,3
296;-10
297;-8,4
298;-7,3
299;-6,1
300;-5,1
301;-4,4
302;-4,5
303;-5,2
304;-6,1
305;-6,5
306;-7
307;-7,4
308;-7,8
309;-8,2
310;-8,7
311;-9,1
312;-9,7
313;-10,4
314;-11,1
315;-11,5
316;-11,9
317;-12,4
318;-12,7
319;-13
320;-13,1
321;-12,5
322;-12
323;-11,2
324;-10,7
325;-10
326;-9,8
327;-10,1
328;-11
329;-10,5
330;-10
331;-9,5
332;-9
333;-8,4
334;-7,9
335;-7,4
336;-7
337;-6,5
338;-6
339;-5,7
340;-5,5
341;-5,2
342;-5
343;-4,8
344;-4,5
345;-2,3
346;-0,6
347;0,7
348;1,7
349;2,1
350;2,3
351;1,7
352;0,6
353;0,8
354;1
355;1,2
356;1,4
357;1,6
358;1,9
359;2,1
360;1,8
361;1,6
362;1,3
363;1,3
364;1,3
365;1,1
366;1,1
367;1
368;1,1
369;1,6
370;2,1
371;2,4
372;2,7
373;2,9
374;2,9
375;2,7
376;2,4
377;2,1
378;1,9
379;1,6
380;1,3
381;1
382;0,7
383;0,4
384;0,2
385;-0,2
386;-0,6
387;-0,9
388;-0,9
389;-1
390;-1,1
391;-1,2
392;-1,2
393;-0,9
394;-0,6
395;-0,3
396;-0,2
397;-0,2
398;-0,2
399;-0,3
400;-0,6
401;-0,8
402;-1,1
403;-1,3
404;-1,6
405;-1,8
406;-2,1
407;-2,5
408;-2,5
409;-2,6
410;-2,7
411;-2,8
412;-2,9
413;-2,9
414;-3
415;-3
416;-2,8
417;-2,2
418;-1,8
419;-1,4
420;-0,7
421;-0,2
422;0,1
423;0
424;-0,5
425;-0,8
426;-1,2
427;-1,6
428;-2
429;-2,5
430;-2,8
431;-3,1
432;-4,5
433;-6,1
434;-7,7
435;-8,7
436;-9,6
437;-10,5
438;-11,2
439;-11,9
440;-12,1
441;-11,7
442;-11,6
443;-11,4
444;-11
445;-10,7
446;-10,8
447;-11
448;-11,7
449;-11,9
450;-12,1
451;-12,3
452;-12,5
453;-12,7
454;-12,9
455;-13
456;-12,4
457;-11,6
458;-10,8
459;-10,3
460;-9,8
461;-9,4
462;-9
463;-8,7
464;-8,2
465;-7
466;-5,4
467;-5,1
468;-5,1
469;-2,9
470;-1,8
471;-1,5
472;-2,5
473;-2,3
474;-2,1
475;-1,8
476;-1,6
477;-1,4
478;-1,1
479;-0,9
480;-1,3
481;-1,6
482;-2
483;-2,2
484;-2,4
485;-2,6
486;-2,7
487;-2,9
488;-2,6
489;-1,2
490;0
491;1,1
492;1,9
493;2,3
494;2,2
495;1,5
496;0,6
497;0,4
498;0,2
499;0
500;-0,2
501;-0,4
502;-0,6
503;-0,7
504;-0,8
505;-0,9
506;-1
507;-1
508;-1,1
509;-1
510;-1
511;-0,9
512;-0,6
513;0,7
514;1,8
515;3
516;3,6
517;3,9
518;3,7
519;3,1
520;2,4
521;2
522;1,6
523;1,2
524;0,8
525;0,4
526;0
527;-0,4
528;-0,9
529;-1,6
530;-2,3
531;-2,6
532;-3
533;-3,4
534;-3,6
535;-3,9
536;-3,6
537;-1,9
538;-0,8
539;0,1
540;0,8
541;0,9
542;0,7
543;0,1
544;-0,9
545;-1,1
546;-1,2
547;-1,4
548;-1,6
549;-1,8
550;-2
551;-2,1
552;-2
553;-1,9
554;-1,8
555;-1,6
556;-1,5
557;-1,4
558;-1,3
559;-1,2
560;-0,7
561;1
562;2,4
563;3,5
564;4,1
565;4,5
566;4,6
567;4,1
568;3,3
569;3
570;2,7
571;2,4
572;2,2
573;1,9
574;1,6
575;1,3
576;0,8
577;0,3
578;-0,2
579;-0,5
580;-0,7
581;-1
582;-1,2
583;-1,3
584;-1
585;1,3
586;2,5
587;4,1
588;5,4
589;6,4
590;6,8
591;6,5
592;5,2
593;4,5
594;3,7
595;2,9
596;2,2
597;1,4
598;0,6
599;-0,2
600;-1
601;-1,9
602;-2,7
603;-3,2
604;-3,7
605;-4,2
606;-4,6
607;-4,9
608;-4,4
609;-1,9
610;-0,1
611;1,3
612;2,4
613;2,9
614;3
615;2,2
616;0,7
617;0,3
618;0
619;-0,3
620;-0,7
621;-1
622;-1,3
623;-1,6
624;-1,6
625;-1,5
626;-1,5
627;-1,4
628;-1,4
629;-1,3
630;-1,3
631;-1,3
632;-0,9
633;0,2
634;1
635;2
636;2,4
637;2,5
638;2,5
639;2
640;1,4
641;1,4
642;1,4
643;1,2
644;1,3
645;1,3
646;1,2
647;1,2
648;1,1
649;1
650;0,8
651;0,8
652;0,7
653;0,7
654;0,6
655;0,6
656;1
657;2,2
658;4,8
659;5,4
660;6,4
661;6,8
662;6,8
663;6,1
664;5,1
665;5,1
666;5,1
667;5
668;5
669;5
670;4,9
671;5
672;5
673;5
674;5
675;4,9
676;5
677;5
678;5
679;5
680;5,2
681;6,2
682;6,9
683;7,6
684;8,1
685;8,4
686;8,4
687;8,2
688;7,7
689;7,4
690;7,1
691;6,8
692;6,5
693;6,2
694;5,8
695;5,5
696;5,1
697;4,7
698;4,3
699;4,2
700;4,1
701;3,9
702;3,9
703;3,8
704;4,4
705;6,4
706;8,1
707;9,4
708;10,2
709;9,4
710;9,4
711;9,4
712;9,5
713;9,5
714;9,5
715;9,5
716;9,5
717;9,5
718;9,5
719;9,5
720;9,1
721;8,7
722;8,3
723;8,2
724;8
725;7,9
726;7,8
727;7,7
728;8,1
729;8,9
730;9,3
731;9,8
732;9,9
733;9,9
734;10
735;10
736;9,7
737;9,4
738;9
739;8,7
740;8,4
741;8
742;6,6
743;5,2
744;3,7
745;2,2
746;0,7
747;-0,7
748;-2
749;-3
750;-4
751;-4,3
752;-4,7
753;-5,2
754;-5,7
755;-6,2
756;-6,6
757;-7
758;-7,3
759;-6,5
760;-6,7
761;-7,1
762;-7,6
763;-8,2
764;-8,7
765;-9,2
766;-9,8
767;-10,3
768;-9,6
769;-8,7
770;-7,9
771;-7,4
772;-6,9
773;-6,5
774;-6,1
775;-5,9
776;-5,6
777;-5
778;-3,6
779;-2,2
780;0,2
781;0,6
782;2
783;2,5
784;1,6
785;0,7
786;0,7
787;0,8
788;0,8
789;0,8
790;0,9
791;0,9
792;0,3
793;-0,4
794;-1
795;-1,4
796;-1,7
797;-2
798;-2,2
799;-2,2
800;-1,6
801;-1,5
802;-1,5
803;-0,2
804;0,5
805;1,3
806;1,6
807;1,5
808;1
809;0,4
810;0
811;-0,5
812;-0,9
813;-1,3
814;-1,8
815;-2,2
816;-2,5
817;-2,7
818;-3
819;-3,1
820;-3,2
821;-3,5
822;-3,4
823;-3,4
824;-3
825;-2
826;-1,5
827;-0,8
828;-0,1
829;0,2
830;0,2
831;-0,3
832;-0,8
833;-1,2
834;-1,6
835;-2,1
836;-2,5
837;-2,9
838;-3,3
839;-3,8
840;-4,4
841;-5,1
842;-5,8
843;-6,2
844;-6,6
845;-6,8
846;-7,1
847;-7,1
848;-6,1
849;-4,4
850;-2,8
851;-1,3
852;-0,5
853;0,1
854;0,3
855;-0,2
856;-1,3
857;-2,4
858;-2,7
859;-3
860;-3,4
861;-3,7
862;-4
863;-4,4
864;-4,5
865;-4,7
866;-4,8
867;-4,8
868;-4,9
869;-4,9
870;-5
871;-4,9
872;-3,6
873;-1,6
874;0,6
875;2,3
876;3,1
877;3,4
878;3,4
879;2,8
880;1,7
881;0,6
882;0,4
883;0,1
884;-0,2
885;-0,5
886;-0,7
887;-1
888;-1,4
889;-1,7
890;-2,1
891;-2,2
892;-2,4
893;-2,5
894;-2,6
895;-2,6
896;-2,1
897;-0,7
898;0,8
899;1,7
900;2,4
901;2,8
902;3,3
903;2,4
904;1,8
905;1
906;0,7
907;0,3
908;0
909;-0,4
910;-0,7
911;-1,1
912;-1,5
913;-1,9
914;-2,3
915;-2,5
916;-2,7
917;-2,9
918;-3
919;-3
920;-1,8
921;-0,6
922;0,6
923;2,2
924;3,7
925;4,8
926;5,2
927;5
928;4,1
929;2,9
930;2,6
931;2,3
932;2
933;1,7
934;1,4
935;1,1
936;0,8
937;0,5
938;0,2
939;0,1
940;-0,1
941;-0,2
942;-0,3
943;-0,3
944;-0,2
945;0,5
946;2
947;2,7
948;4,5
949;5,4
950;5,6
951;5,6
952;5,2
953;4,3
954;4,2
955;4
956;3,9
957;3,7
958;3,5
959;3,4
960;3,3
961;3,1
962;3
963;3
964;2,9
965;2,9
966;2,8
967;2,7
968;3
969;3,1
970;4
971;4,6
972;4,8
973;5
974;5,1
975;4,9
976;4,8
977;4,5
978;4,2
979;3,9
980;3,6
981;3,3
982;3
983;2,7
984;2,4
985;2,1
986;1,9
987;1,8
988;1,6
989;1,6
990;1,5
991;1,6
992;3
993;4,8
994;6,6
995;7,9
996;8,4
997;8,2
998;7,7
999;6,7
1000;5,9
1001;5,2
1002;4,7
1003;4,1
1004;3,5
1005;2,9
1006;2,3
1007;1,7
1008;0,6
1009;-0,6
1010;-1,8
1011;-2,5
1012;-3,2
1013;-3,7
1014;-4,2
1015;-4,3
1016;-3,5
1017;-2,3
1018;-1,2
1019;-0,2
1020;0,4
1021;0,7
1022;0,7
1023;0,7
1024;0,1
1025;-1
1026;-1,2
1027;-1,5
1028;-1,8
1029;-2
1030;-2,3
1031;-2,5
1032;-2,2
1033;-1,8
1034;-1,4
1035;-1,1
1036;-0,9
1037;-0,7
1038;-0,5
1039;-0,4
1040;0,8
1041;2,3
1042;3,8
1043;5,1
1044;6,1
1045;6,6
1046;6,9
1047;6,6
1048;5,9
1049;5,1
1050;4,9
1051;4,9
1052;4,7
1053;4,6
1054;4,4
1055;4,3
1056;3,9
1057;3,4
1058;2,9
1059;2,7
1060;2,4
1061;2,3
1062;2,1
1063;2,1
1064;3,2
1065;4,4
1066;5,5
1067;6,5
1068;7,4
1069;8
1070;8,2
1071;7,9
1072;7,2
1073;6,3
1074;6
1075;5,8
1076;5,6
1077;5,4
1078;5,1
1079;5
1080;4,8
1081;4,8
1082;4,7
1083;4,6
1084;4,6
1085;4,5
1086;4,5
1087;4,6
1088;5,6
1089;6,8
1090;7,8
1091;8,6
1092;9,2
1093;9,8
1094;10
1095;9,9
1096;9,4
1097;8,6
1098;8,3
1099;8
1100;7,7
1101;7,4
1102;7,1
1103;6,8
1104;6,4
1105;6,1
1106;5,7
1107;5,5
1108;5,3
1109;5,2
1110;5,1
1111;5,1
1112;6,3
1113;7,5
1114;8,9
1115;9,9
1116;10,7
1117;11,3
1118;11,5
1119;11,3
1120;10,5
1121;9,6
1122;9,4
1123;9,1
1124;8,9
1125;8,7
1126;8,4
1127;8,2
1128;8
1129;7,8
1130;7,7
1131;7,6
1132;7,4
1133;7,5
1134;7,6
1135;7,7
1136;8
1137;8,3
1138;8,6
1139;8,8
1140;9
1141;10,8
1142;11,9
1143;12,3
1144;12,3
1145;11,7
1146;11,1
1147;10,5
1148;9,9
1149;9,2
1150;8,6
1151;8
1152;7,2
1153;6,1
1154;5,3
1155;4,9
1156;4,4
1157;4,1
1158;3,7
1159;3,7
1160;3,7
1161;3,9
1162;4,1
1163;4,2
1164;4,2
1165;5,4
1166;6
1167;6,2
1168;6,1
1169;5,6
1170;5
1171;4,5
1172;3,8
1173;3,2
1174;2,6
1175;2
1176;1,6
1177;1,3
1178;1
1179;0,8
1180;0,6
1181;0,5
1182;0,4
1183;0,5
1184;1,6
1185;3
1186;4,1
1187;5
1188;6,1
1189;6,8
1190;7,2
1191;7
1192;6,3
1193;5,4
1194;4,9
1195;4,2
1196;3,6
1197;2,9
1198;2,3
1199;1,6
1200;0,9
1201;0,1
1202;-0,7
1203;-1,1
1204;-1,5
1205;-1,8
1206;-2,1
1207;-2,1
1208;-1,1
1209;0,3
1210;1,4
1211;2,1
1212;2,8
1213;3,3
1214;3,3
1215;2,6
1216;1,7
1217;0,9
1218;0,5
1219;0,2
1220;-0,2
1221;-0,5
1222;-0,9
1223;-1,3
1224;-1,4
1225;-1,5
1226;-1,7
1227;-1,7
1228;-1,8
1229;-1,8
1230;-1,9
1231;-1,6
1232;0,6
1233;2,6
1234;4,5
1235;4,9
1236;5,6
1237;5,5
1238;4,9
1239;4,1
1240;3,2
1241;2,3
1242;2,3
1243;2,3
1244;2,3
1245;2,4
1246;2,4
1247;2,4
1248;2,4
1249;2,4
1250;2,4
1251;2,5
1252;2,5
1253;2,6
1254;2,6
1255;2,8
1256;4,5
1257;6,2
1258;7,7
1259;8,9
1260;9,7
1261;10,3
1262;10,4
1263;9,9
1264;9,1
1265;8,2
1266;7,6
1267;7,1
1268;6,5
1269;5,9
1270;5,4
1271;4,9
1272;3,9
1273;3,1
1274;2,2
1275;1,7
1276;1,3
1277;1
1278;0,6
1279;0,3
1280;1
1281;1,4
1282;1,7
1283;2
1284;2,3
1285;2,4
1286;2,4
1287;2,2
1288;2
1289;1,6
1290;0,9
1291;0,3
1292;-0,4
1293;-1,1
1294;-1,7
1295;-2,4
1296;-3,2
1297;-4,2
1298;-5,2
1299;-5,8
1300;-6,4
1301;-6,8
1302;-7,2
1303;-6,9
1304;-4,6
1305;-2,8
1306;-0,8
1307;0,1
1308;0
1309;0,2
1310;0,7
1311;0,5
1312;-0,4
1313;-1,8
1314;-2
1315;-2,3
1316;-2,5
1317;-2,7
1318;-3
1319;-3,2
1320;-2,9
1321;-2,4
1322;-2
1323;-1,7
1324;-1,4
1325;-1,2
1326;-0,9
1327;-0,7
1328;0,1
1329;0,8
1330;1,7
1331;2,2
1332;2,1
1333;4,5
1334;6
1335;6,8
1336;6,9
1337;6,1
1338;5,5
1339;4,9
1340;4,2
1341;3,4
1342;2,7
1343;2
1344;0,7
1345;-0,7
1346;-2,2
1347;-2,9
1348;-3,7
1349;-4,3
1350;-4,8
1351;-4,9
1352;-5
1353;-5
1354;-5
1355;-5
1356;-5
1357;-4
1358;-3,9
1359;-3,4
1360;-3,6
1361;-4,1
1362;-4,8
1363;-5,5
1364;-6,2
1365;-6,9
1366;-7,7
1367;-8,4
1368;-8,6
1369;-8,8
1370;-9
1371;-9,1
1372;-9,2
1373;-9,3
1374;-9,4
1375;-9,2
1376;-7,9
1377;-6,4
1378;-5
1379;-3,8
1380;-3,2
1381;-3,1
1382;-3,1
1383;-3,5
1384;-4,2
1385;-5
1386;-5,5
1387;-6
1388;-6,4
1389;-6,9
1390;-7,4
1391;-7,8
1392;-8,4
1393;-9,1
1394;-9,8
1395;-10,2
1396;-10,7
1397;-11
1398;-11,4
1399;-11,1
1400;-9,1
1401;-7,5
1402;-6,8
1403;-6,5
1404;-6,6
1405;-7
1406;-8
1407;-9
1408;-10
1409;-10,8
1410;-8,9
1411;-7
1412;-5,2
1413;-3,3
1414;-1,4
1415;0,5
1416;1,1
1417;1,9
1418;2,6
1419;3
1420;3,2
1421;3,7
1422;4,1
1423;4,6
1424;6
1425;7,2
1426;8,5
1427;9,5
1428;10,6
1429;10,9
1430;10,7
1431;10,3
1432;9,8
1433;9,1
1434;9
1435;8,9
1436;8,8
1437;8,7
1438;8,6
