id;ta
0;3,3
1;3
2;2,7
3;2,5
4;2,3
5;2,2
6;2,1
7;2
8;2
9;3,1
10;4,1
11;5
12;5,7
13;6,1
14;6,2
15;5,6
16;4,9
17;4,6
18;4,3
19;3,9
20;3,6
21;3,3
22;3
23;2,7
24;2,4
25;2
26;1,8
27;1,7
28;1,5
29;1,4
30;1,3
31;1,2
32;1,3
33;2,2
34;3
35;3,8
36;4,4
37;4,6
38;4,9
39;4,6
40;3,9
41;3,5
42;3
43;2,5
44;2
45;1,5
46;1,1
47;0,6
48;-0,3
49;-1,2
50;-2,1
51;-2,5
52;-3
53;-3,5
54;-3,9
55;-4,2
56;-4,1
57;-2,6
58;-1
59;0,5
60;1,3
61;1,4
62;1,1
63;0,3
64;-0,8
65;-1,3
66;-1,9
67;-2,5
68;-3,1
69;-3,6
70;-4,2
71;-4,8
72;-5,1
73;-5,4
74;-5,7
75;-5,9
76;-6
77;-6,1
78;-6,2
79;-6,3
80;-6,2
81;-4,1
82;-1,9
83;0,1
84;1,4
85;1,9
86;1,6
87;0,4
88;-0,9
89;-1,2
90;-1,5
91;-1,9
92;-2,2
93;-2,5
94;-2,8
95;-3,1
96;-3,5
97;-4
98;-4,4
99;-4,7
100;-4,9
101;-5,2
102;-5,4
103;-5,5
104;-5,5
105;-4,8
106;-3,9
107;-3,3
108;-2,9
109;-2,6
110;-2,7
111;-3,2
112;-3,8
113;-3,8
114;-3,9
115;-4
116;-4,2
117;-4,2
118;-4,3
119;-4,3
120;-4,2
121;-4,1
122;-3,9
123;-3,8
124;-3,7
125;-3,6
126;-3,5
127;-3,4
128;-3,2
129;-2,9
130;-2,6
131;-1,9
132;-1,6
133;0,3
134;1,2
135;1,3
136;0,5
137;0,5
138;0,5
139;0,5
140;0,4
141;0,4
142;0,4
143;0,3
144;0,1
145;-0,1
146;-0,3
147;-0,4
148;-0,5
149;-0,6
150;-0,6
151;-0,6
152;-0,5
153;0,8
154;2,1
155;3,4
156;4,2
157;4,7
158;4,8
159;4,2
160;3,4
161;2,8
162;2,3
163;1,8
164;1,3
165;0,7
166;0,2
167;-0,3
168;-1
169;-1,8
170;-2,4
171;-2,9
172;-3,3
173;-3,7
174;-4
175;-4,3
176;-4,3
177;-4,1
178;-3,8
179;-3,7
180;-3,6
181;-2,6
182;-2,3
183;-2,5
184;-3
185;-3,2
186;-3,4
187;-3,7
188;-3,9
189;-4,1
190;-4,3
191;-4,5
192;-4,4
193;-4,2
194;-4
195;-3,8
196;-3,7
197;-3,5
198;-3,3
199;-3,2
200;-2,9
201;-1,3
202;1,3
203;2,4
204;3,1
205;2,8
206;1,8
207;0,9
208;0,2
209;0
210;-0,1
211;-0,3
212;-0,5
213;-0,7
214;-0,9
215;-1,1
216;-2,2
217;-3,2
218;-4,3
219;-5
220;-5,6
221;-6,3
222;-6,8
223;-7,2
224;-7,4
225;-7,5
226;-7,5
227;-7,6
228;-7,7
229;-7,8
230;-8
231;-8,2
232;-8,4
233;-8,6
234;-8,8
235;-9,1
236;-9,3
237;-9,5
238;-9,8
239;-10
240;-9,6
241;-9,1
242;-8,8
243;-8,4
244;-8,1
245;-7,8
246;-7,7
247;-7,4
248;-7,2
249;-6,5
250;-5,6
251;-4,4
252;-3,7
253;-3,1
254;-2,9
255;-3,2
256;-3,7
257;-3,9
258;-4
259;-4,2
260;-4,3
261;-4,5
262;-4,6
263;-4,8
264;-5,7
265;-6,8
266;-7,9
267;-8,5
268;-9,2
269;-9,8
270;-10,3
271;-10,8
272;-10,9
273;-9,6
274;-8,7
275;-7,7
276;-7
277;-6,6
278;-6,9
279;-7,8
280;-8,9
281;-9,3
282;-9,7
283;-10,1
284;-10,4
285;-10,8
286;-11,2
287;-11,6
288;-11,3
289;-10,9
290;-10,5
291;-10,2
292;-10
293;-9,8
294;-9,7
295;-9,5
296;-9,4
297;-7,9
298;-6,6
299;-4,6
300;-3,2
301;-1,2
