id; ta
0;3,6
1;3,8
2;3,6
3;3,4
4;3,3
5;3,1
6;3,1
7;3
8;3
9;3,4
10;3,7
11;4
12;4,3
13;4,4
14;4,3
15;4,1
16;3,8
17;3,6
18;3,4
19;3,4
20;3,1
21;3
22;2,9
23;2,8
24;2,7
25;2,7
26;2,6
27;2,6
28;2,6
29;2,6
30;2,6
31;2,6
32;2,7
33;4,2
34;5,2
35;6,3
36;7,1
37;7,5
38;7,8
39;7,2
40;6,4
41;6,2
42;6
43;5,8
44;5,6
45;5,4
46;5,2
47;5
48;4,7
49;4,4
50;4
51;3,9
52;3,7
53;3,5
54;3,4
55;3,3
56;3,4
57;4,3
58;4,8
59;5,3
60;5,8
61;5,7
62;5,5
63;5,2
64;4,8
65;4,5
66;4,1
67;3,8
68;3,5
69;3,2
70;2,8
71;2,4
72;2,2
73;1,9
74;1,6
75;1,5
76;1,3
77;1,1
78;1
79;0,9
80;1
81;2,1
82;3,2
83;4,2
84;4,9
85;5,2
86;5,1
87;4,6
88;3,8
89;3,7
90;3,5
91;3,3
92;3,2
93;3
94;2,9
95;2,7
96;1,6
97;2,3
98;2,2
99;2,1
100;1,9
101;2,2
102;2,3
103;2,2
104;2,3
105;2,4
106;2,5
107;2,7
108;2,8
109;2,9
110;2,8
111;2,7
112;2,6
113;2,6
114;2,3
115;2,4
116;2,2
117;2,1
118;2
119;1,9
120;1,2
121;0,5
122;-0,2
123;-0,6
124;-1
125;-1,4
126;-1,6
127;-1,9
128;-1,8
129;0,4
130;2,2
131;3,8
132;4,9
133;5,6
134;5,5
135;4,6
136;3,2
137;2,7
138;2,3
139;1,9
140;1,4
141;1
142;0,6
143;0,1
144;-0,1
145;-0,4
146;-0,7
147;-0,8
148;-1
149;-1,2
150;-1,3
151;-1,4
152;-1,4
153;-0,9
154;-0,5
155;-0,1
156;0,1
157;0,2
158;0,2
159;0
160;-0,4
161;-0,4
162;-0,4
163;-0,7
164;-0,6
165;-0,5
166;-0,5
167;-0,5
168;-0,4
169;-0,3
170;-0,1
171;0
172;0,1
173;0,3
174;0,3
175;0,4
176;0,6
177;1,4
178;2,2
179;2,9
180;3,6
181;3,9
182;3,8
183;3,4
184;3
185;2,6
186;2,6
187;2,4
188;2,2
189;2
190;1,9
191;1,7
192;0,5
193;-0,7
194;-1,9
195;-2,6
196;-3,3
197;-4
198;-4,5
199;-5
200;-4,9
201;-3,8
202;-2,8
203;-1,6
204;-1,1
205;-1,6
206;-1,9
207;-2,5
208;-3,4
209;-3,8
210;-4,3
211;-4,8
212;-5,2
213;-5,7
214;-6,2
215;-6,7
216;-6,6
217;-6,6
218;-6,5
219;-6,4
220;-6,3
221;-6,3
222;-6,2
223;-6,1
224;-5,9
225;-5,3
226;-4,9
227;-4,6
228;-4,4
229;-2,3
230;-1,3
231;-1,2
232;-2
233;-2,3
234;-2,7
235;-3,1
236;-3,5
237;-3,9
238;-4,3
239;-4,7
240;-5,4
241;-6,1
242;-6,8
243;-7,2
244;-7,6
245;-8
246;-8,2
247;-8,5
248;-8,5
249;-7,5
250;-6,6
251;-5,8
252;-5,3
253;-5,1
254;-5,2
255;-5,7
256;-6,4
257;-6,9
258;-7,4
259;-7,9
260;-8,4
261;-8,9
262;-9,4
263;-9,9
264;-10,2
265;-10,5
266;-10,8
267;-11
268;-11,2
269;-11,3
270;-11,4
271;-11,5
272;-11,3
273;-9,3
274;-7,5
275;-6,1
276;-5,1
277;-4,5
278;-4,5
279;-5,4
280;-6,6
281;-6,9
282;-7,1
283;-7,4
284;-7,6
285;-7,8
286;-8,1
287;-8,3
288;-8,5
289;-8,7
290;-8,9
291;-9
292;-9,1
293;-9,2
294;-9,2
295;-9,3
296;-9,2
297;-8,3
298;-7,5
299;-6,7
300;-6
301;-5,5
302;-5,4
303;-5,7
304;-6,4
305;-6,7
306;-7,1
307;-7,5
308;-7,9
309;-8,2
310;-8,6
311;-8,9
312;-9,4
313;-9,9
314;-10,4
315;-10,7
316;-11
317;-11,3
318;-11,5
319;-11,8
320;-11,8
321;-11
322;-10,3
323;-9,6
324;-9,3
325;-9
326;-9
327;-9,4
328;-10,1
329;-10
330;-9,8
331;-9,7
332;-9,6
333;-9,5
334;-9,3
335;-9,2
336;-8,9
337;-8,6
338;-8,2
339;-8
340;-7,7
341;-7,5
342;-7,3
343;-7,1
344;-6,7
345;-5,1
346;-2,8
347;-0,5
348;1,6
349;3,1
350;4,1
351;3,7
352;2
353;1,7
354;1,5
355;1,3
356;1,1
357;0,9
358;0,7
359;0,5
360;-0,1
361;-0,7
362;-1,4
363;-1,7
364;-2,1
365;-2,4
366;-2,7
367;-2,9
368;-2,7
369;-0,9
370;0,8
371;2
372;2,9
373;3,2
374;3
375;2,2
376;1,1
377;0,7
378;0,2
379;-0,3
380;-0,7
381;-1,2
382;-1,6
383;-2,1
384;-2,4
385;-2,7
386;-3
387;-3,1
388;-3,2
389;-3,4
390;-3,4
391;-3,5
392;-3,2
393;-1,2
394;-0,3
395;1,1
396;2,4
397;3,3
398;3,1
399;2,3
400;1,2
401;0,8
402;0,3
403;-0,1
404;-0,5
405;-1
406;-1,4
407;-1,9
408;-2,4
409;-2,9
410;-3,5
411;-3,7
412;-4
413;-4,2
414;-4,4
415;-4,6
416;-4,3
417;-2,5
418;-1
419;0,8
420;2
421;3,4
422;3,9
423;3,6
424;2,1
425;1,2
426;0,3
427;-0,5
428;-1,4
429;-2,3
430;-3,2
431;-4
432;-5
433;-6,1
434;-7,3
435;-7,9
436;-8,6
437;-9,2
438;-9,7
439;-10,2
440;-10,4
441;-10,6
442;-10,7
443;-10,9
444;-11,1
445;-11,2
446;-11,4
447;-11,7
448;-11,8
449;-11,8
450;-11,7
451;-11,8
452;-11,4
453;-11,2
454;-11
455;-10,9
456;-10,4
457;-9,7
458;-9,1
459;-8,8
460;-8,4
461;-8,1
462;-7,8
463;-7,6
464;-7,3
465;-5,7
466;-4,4
467;-3,4
468;-2,7
469;-2,2
470;-2,3
471;-2,7
472;-3,5
473;-3,1
474;-2,8
475;-2,5
476;-2,2
477;-1,9
478;-1,6
479;-1,4
480;-1,5
481;-2
482;-2,1
483;-2,2
484;-2,3
485;-2,5
486;-2,6
487;-2,7
488;-2,6
489;-2
490;-1,4
491;-0,9
492;-0,5
493;-0,4
494;-0,4
495;-0,7
496;-1,2
497;-1,2
498;-1,2
499;-1,2
500;-1,2
501;-1,2
502;-1,2
503;-1,3
504;-1,8
505;-1,3
506;-1
507;-0,8
508;-0,7
509;-0,7
510;-0,6
511;-0,5
512;-0,4
513;0,2
514;0,7
515;1
516;1,3
517;1,3
518;1,5
519;1,3
520;1,1
521;1
522;0,9
523;0,7
524;0,7
525;0,5
526;0,4
527;0,3
528;-0,1
529;-0,5
530;-1,2
531;-1,1
532;-1,1
533;-1,4
534;-1,5
535;-1,6
536;-1,6
537;-1,2
538;-1
539;-0,8
540;-0,6
541;-0,5
542;-0,5
543;-0,6
544;-0,9
545;-1
546;-1,1
547;-1,2
548;-1,3
549;-1,4
550;-1,7
551;-1,7
552;-1,5
553;-1,4
554;-1,4
555;-1,6
556;-1,2
557;-1,2
558;-1,1
559;-1,1
560;-0,8
561;0,4
562;1,2
563;1,9
564;2,3
565;2,6
566;2,7
567;2,4
568;1,8
569;1,8
570;1,7
571;1,7
572;1,6
573;1,6
574;1,5
575;1,4
576;1,3
577;1,2
578;1,1
579;1
580;1
581;1
582;0,9
583;0,9
584;1,1
585;1,9
586;2,6
587;3,2
588;3,5
589;3,9
590;4,1
591;3,9
592;3,4
593;3,1
594;2,7
595;2,3
596;1,8
597;1,2
598;1,2
599;0,9
600;0,3
601;-0,3
602;-0,9
603;-1,3
604;-1,6
605;-1,9
606;-2,2
607;-2,4
608;-1,8
609;-1,8
610;-1,8
611;-1,7
612;-0,1
613;1,4
614;2,7
615;2,9
616;2,2
617;1,9
618;1,6
619;1,3
620;1
621;0,7
622;0,4
623;0,2
624;0
625;-0,1
626;-0,3
627;-0,3
628;-0,4
629;-0,5
630;-0,5
631;-0,6
632;-0,4
633;0,5
634;1,3
635;2
636;2,5
637;2,7
638;2,7
639;2,5
640;1,9
641;1,9
642;1,6
643;1,7
644;1,6
645;1,6
646;1,5
647;1,4
648;1,4
649;1,3
650;1,4
651;1,4
652;1,4
653;1,4
654;1,4
655;1,4
656;1,7
657;2,8
658;3,5
659;4,5
660;5
661;5,2
662;5,3
663;5,1
664;4,5
665;4,3
666;4,2
667;4
668;3,9
669;3,7
670;3,5
671;3,4
672;3,2
673;3
674;2,8
675;2,7
676;2,6
677;2,5
678;2,5
679;2,5
680;2,7
681;4
682;4,5
683;5,1
684;7,1
685;8,8
686;9,3
687;9,8
688;8,7
689;8,3
690;7,8
691;7,3
692;6,9
693;6,4
694;6
695;5,5
696;4,9
697;4,4
698;3,9
699;3,7
700;3,5
701;3,3
702;3,2
703;3,1
704;3,9
705;5,7
706;6,6
707;7,8
708;9,1
709;10,2
710;9,3
711;10,2
712;9,2
713;8,9
714;8,6
715;8,3
716;8
717;7,7
718;7,4
719;7,1
720;6,4
721;6
722;5,5
723;5,4
724;5,2
725;5,1
726;5
727;5
728;5,9
729;7,5
730;8,9
731;9,3
732;9,3
733;9,3
734;9,3
735;9,3
736;9,3
737;9,8
738;9,2
739;8,6
740;8
741;7,4
742;5,8
743;4,1
744;2,5
745;0,8
746;-0,8
747;-2,2
748;-3,5
749;-4,5
750;-5,5
751;-5,8
752;-5,9
753;-5,8
754;-5,8
755;-5,9
756;-6
757;-6,2
758;-6,5
759;-6,9
760;-7,4
761;-7,8
762;-8,1
763;-8,4
764;-8,7
765;-9
766;-9,3
767;-9,7
768;-8,8
769;-7,7
770;-6,8
771;-6,1
772;-5,6
773;-5,2
774;-4,8
775;-4,7
776;-4
777;-3,2
778;-2,3
779;-1,4
780;-0,8
781;-0,2
782;0,1
783;0
784;-0,3
785;-0,7
786;-0,5
787;-0,4
788;-0,1
789;0,2
790;-0,2
791;0,5
792;0,3
793;-0,1
794;-0,5
795;-0,8
796;-1,3
797;-1,1
798;-1,3
799;-1,3
800;-1
801;-0,5
802;-0,1
803;0,3
804;0,5
805;0,6
806;0,5
807;0,3
808;0,1
809;-0,2
810;-0,6
811;-1
812;-1,4
813;-1,8
814;-2,2
815;-2,6
816;-2,9
817;-3,2
818;-3,5
819;-3,7
820;-3,9
821;-4
822;-4,1
823;-4
824;-3,3
825;-2,5
826;-1,4
827;-0,3
828;0,8
829;1
830;1
831;0,5
832;-0,3
833;-0,9
834;-1,3
835;-1,8
836;-2,2
837;-2,6
838;-3,1
839;-3,5
840;-4
841;-4,5
842;-5
843;-5,3
844;-5,5
845;-5,7
846;-5,9
847;-5,9
848;-5,5
849;-4,4
850;-3,3
851;-2,3
852;-1,7
853;-1,3
854;-1,6
855;-2,1
856;-2,5
857;-3,2
858;-3,4
859;-3,6
860;-3,8
861;-4
862;-4,2
863;-4,4
864;-4,5
865;-4,5
866;-4,6
867;-4,6
868;-4,6
869;-4,5
870;-4,5
871;-4,4
872;-3,9
873;-2,5
874;-0,3
875;1,3
876;2,6
877;1,3
878;1,4
879;1,2
880;0,3
881;-0,5
882;-0,5
883;-0,5
884;-0,5
885;-0,5
886;-0,5
887;-0,5
888;-0,7
889;-1
890;-1,2
891;-1,4
892;-1,4
893;-1,5
894;-1,5
895;-1,5
896;-1,4
897;-1,2
898;-1
899;-0,8
900;-0,6
901;0,9
902;1,8
903;2,1
904;1,9
905;1,4
906;1,2
907;0,9
908;0,6
909;0,3
910;0
911;-0,3
912;-0,7
913;-1
914;-1,4
915;-1,6
916;-1,7
917;-1,8
918;-2
919;-1,9
920;-0,8
921;0,3
922;1,5
923;3,2
924;3,8
925;4,5
926;3,4
927;2,7
928;2,1
929;1,4
930;1,4
931;1,4
932;1,4
933;1,4
934;1,4
935;1,4
936;1,4
937;1,4
938;1,1
939;1,3
940;1,4
941;1,5
942;1,5
943;1,5
944;2
945;2,6
946;3,2
947;3,7
