; Ta_middle; Ta_east; Ta_swest; Ta_north
0;4,3;3,6;3,6;3,3
1;4;3,5;3,8;3
2;3,6;3,2;3,6;2,7
3;3,5;3,1;3,4;2,5
4;3,3;3;3,3;2,3
5;3,1;2,8;3,1;2,2
6;2,9;2,7;3,1;2,1
7;2,8;2,7;3;2
8;2,8;2,8;3;2
9;3,9;3,5;3,4;3,1
10;4,7;4,1;3,7;4,1
11;5,3;4,8;4;5
12;6;5,2;4,3;5,7
13;6,2;5,4;4,4;6,1
14;6,3;4,9;4,3;6,2
15;5,9;4,4;4,1;5,6
16;5,2;4;3,8;4,9
17;5;3,9;3,6;4,6
18;4,9;3,7;3,4;4,3
19;4,7;3,5;3,4;3,9
20;4,6;3,3;3,1;3,6
21;4,4;3,1;3;3,3
22;4,2;2,9;2,9;3
23;4;2,7;2,8;2,7
24;3,9;2,5;2,7;2,4
25;3,8;2,3;2,7;2
26;3,8;2,1;2,6;1,8
27;3,8;2;2,6;1,7
28;3,8;1,9;2,6;1,5
29;3,8;1,8;2,6;1,4
30;3,8;1,7;2,6;1,3
31;3,8;1,7;2,6;1,2
32;3,9;1,8;2,7;1,3
33;5,1;3,3;4,2;2,2
34;6,3;3,9;5,2;3
35;7,4;4,3;6,3;3,8
36;8,1;5,3;7,1;4,4
37;8,5;5,3;7,5;4,6
38;8,4;5,6;7,8;4,9
39;7,9;5,4;7,2;4,6
40;7,2;4,7;6,4;3,9
41;6,9;4,3;6,2;3,5
42;6,7;3,9;6;3
43;6,4;3,5;5,8;2,5
44;6,1;3;5,6;2
45;5,9;2,6;5,4;1,5
46;5,6;2,2;5,2;1,1
47;5,3;1,8;5;0,6
48;4,9;1,4;4,7;-0,3
49;4,6;0,9;4,4;-1,2
50;4,1;0,4;4;-2,1
51;3,9;0,1;3,9;-2,5
52;3,7;-0,1;3,7;-3
53;3,5;-0,4;3,5;-3,5
54;3,3;-0,5;3,4;-3,9
55;3,2;-0,7;3,3;-4,2
56;3,4;-0,7;3,4;-4,1
57;4,7;0,3;4,3;-2,6
58;5,7;1,5;4,8;-1
59;7,3;2,3;5,3;0,5
60;7,8;3,6;5,8;1,3
61;7,3;4,4;5,7;1,4
62;7;4,5;5,5;1,1
63;6,5;3,9;5,2;0,3
64;5,7;2,9;4,8;-0,8
65;5,5;2,7;4,5;-1,3
66;5,3;2,4;4,1;-1,9
67;5,1;2,1;3,8;-2,5
68;4,9;1,9;3,5;-3,1
69;4,8;1,6;3,2;-3,6
70;4,6;1,3;2,8;-4,2
71;4,4;1,1;2,4;-4,8
72;4,2;0,9;2,2;-5,1
73;4;0,7;1,9;-5,4
74;3,8;0,5;1,6;-5,7
75;3,6;0,4;1,5;-5,9
76;3,7;0,3;1,3;-6
77;3,6;0,3;1,1;-6,1
78;3,5;0,2;1;-6,2
