;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east
0;0;0;0;0
1;0;0;0;0
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;0,06233255;0,019958775;0,01925825;0,06341
10;0,039318;0,0481045;0,04328;0,0381505
11;0,1232395;0,08203425;0,06803325;0,1067115
12;0,193835;0,0748865;0,0643825;0,22631975
13;0,17999325;0,06497225;0,0434795;0,1879645
14;0,306085;0,06802225;0,02461425;0,2877
15;0,050074;0,031575975;0,007753075;0,04885475
16;0,000103188;7,57E-05;6,70E-05;8,49E-05
17;0;0;0;0
18;0;0;0;0
19;0;0;0;0
20;0;0;0;0
21;0;0;0;0
22;0;0;0;0
23;0;0;0;0
24;0;0;0;0
25;0;0;0;0
26;0;0;0;0
27;0;0;0;0
28;0;0;0;0
29;0;0;0;0
30;0;0;0;0
31;0;0;0;0
32;0;0;0;0
33;0,0104263;0,013125125;0,0126037;0,013554575
34;0,02541175;0,03541125;0,03178275;0,02874125
35;0,03149425;0,0542555;0,043579;0,03401025
36;0,037936;0,05954875;0,03463425;0,03987275
37;0,04562675;0,05075475;0,03016475;0,047609
38;0,03046575;0,0355635;0,0224395;0,03083825
39;0,01007175;0,012918725;0,00840545;0,0093817
40;6,40E-05;7,08E-05;0,00010315;3,56E-05
41;0;0;0;0
42;0;0;0;0
43;0;0;0;0
44;0;0;0;0
45;0;0;0;0
46;0;0;0;0
47;0;0;0;0
48;0;0;0;0
49;0;0;0;0
50;0;0;0;0
51;0;0;0;0
52;0;0;0;0
53;0;0;0;0
54;0;0;0;0
55;0;0;0;0
56;0;0;0;0
57;0,143637;0,031250825;0,007184875;0,16568825
58;0,2735425;0,055945;0,020492;0,29388
59;0,29830875;0,0489735;0,0355245;0,30727
60;0,16827225;0,0501465;0,036523;0,12355375
61;0,12054375;0,0386655;0,03171675;0,11392075
62;0,09545;0,02619725;0,026694;0,10390025
63;0,036159825;0,00608835;0,00977075;0,042228875
64;0,00061065;0;9,46E-05;0,00029455
65;0;0;0;0
66;0;0;0;0
67;0;0;0;0
68;0;0;0;0
69;0;0;0;0
70;0;0;0;0
71;0;0;0;0
72;0;0;0;0
73;0;0;0;0
74;0;0;0;0
75;0;0;0;0
76;0;0;0;0
77;0;0;0;0
78;0;0;0;0
79;0;0;0;0
80;0;0;0;0
81;0,1284215;0,029956;0,021336375;0,1420605
82;0,252635;0,06070525;0,04586125;0,2855075
83;0,3672725;0,0900215;0,0690155;0,3823725
84;0,3696125;0,1066235;0,078815;0,366135
85;0,3217325;0,09023;0,06714275;0,3248425
86;0,2777;0,08608425;0,049398;0,2718925
87;0,1049014;0,026642825;0,01804305;0,08232675
88;0,000351825;0,000128768;0,000198125;0,000166215
89;0;0;0;0
90;0;0;0;0
91;0;0;0;0
92;0;0;0;0
93;0;0;0;0
94;0;0;0;0
95;0;0;0;0
96;0;0;0;0
97;0;0;0;0
98;0;0;0;0
99;0;0;0;0
100;0;0;0;0
101;0;0;0;0
102;0;0;0;0
103;0;0;0;0
104;0;0;0;0
105;0,007702525;0,10495795;0,11228625;0,0104708
106;0,0271685;0,20824;0,22661;0,03038875
107;0,0370835;0,2883025;0,2952525;0,039188
108;0,04384825;0,31904375;0,3485825;0,04694625
109;0,0371755;0,289725;0,3059175;0,03772
110;0,02612;0,2127525;0,2284175;0,0259755
111;0,0097899;0,08425125;0,09264525;0,009112
112;8,05E-05;0,000104918;0,0002504;5,71E-05
113;0;0;0;0
114;0;0;0;0
115;0;0;0;0
116;0;0;0;0
117;0;0;0;0
118;0;0;0;0
119;0;0;0;0
120;0;0;0;0
121;0;0;0;0
122;0;0;0;0
123;0;0;0;0
124;0;0;0;0
125;0;0;0;0
126;0;0;0;0
127;0;0;0;0
128;0;0;0;0
129;0,08550425;0,008721975;0,00638935;0,09251225
130;0,17544;0,018701;0,008917375;0,20474475
131;0,2488275;0,03053125;0,01685325;0,27713075
132;0,28793625;0,0402815;0,02610175;0,277385
133;0,2429325;0,26909025;0,234075;0,2358375
134;0,1467325;0,176035;0,1525285;0,14701825
135;0,084779;0,07637975;0,081576225;0,07562675
136;0,000226413;0,00014634;0,0002921;0,000149423
137;0;0;0;0
138;0;0;0;0
139;0;0;0;0
140;0;0;0;0
141;0;0;0;0
142;0;0;0;0
143;0;0;0;0
144;0;0;0;0
145;0;0;0;0
146;0;0;0;0
147;0;0;0;0
148;0;0;0;0
149;0;0;0;0
150;0;0;0;0
151;0;0;0;0
152;0;0;0;0
153;0,0388905;0,002072615;0,01965505;0,0494555
154;0,08328475;0,00829395;0,0354815;0,095109
155;0,1197555;0,01585375;0,05632675;0,13789075
156;0,1311955;0,015273;0,06158125;0,14638575
157;0,13299275;0,27701;0,048994;0,16377925
158;0,10475025;0,21116;0,03141375;0,12976175
159;0,0362275;0,09416175;0,01218095;0,038382
160;0,000267375;0,000193348;0,00027932;0,000159798
161;0;0;0;0
162;0;0;0;0
163;0;0;0;0
164;0;0;0;0
165;0;0;0;0
166;0;0;0;0
167;0;0;0;0
168;0;0;0;0
169;0;0;0;0
170;0;0;0;0
171;0;0;0;0
172;0;0;0;0
173;0;0;0;0
174;0;0;0;0
175;0;0;0;0
176;0;0;0;0
177;0,01102355;0;0,028702525;0,0133465
178;0,03358975;0,003176275;0,04372225;0,03611575
179;0,044657;0,01653635;0,05295875;0,0468035
180;0,06188325;0,02187825;0,0447845;0,06292025
181;0,050612;0,311665;0,0555825;0,05079675
182;0,03238625;0,2117175;0,042508;0,03187875
183;0,012867875;0,093304825;0,01758215;0,0121471
184;0,000130108;0,000347075;0,00036695;8,20E-05
185;0;0;0;0
186;0;0;0;0
187;0;0;0;0
188;0;0;0;0
189;0;0;0;0
190;0;0;0;0
191;0;0;0;0
192;0;0;0;0
193;0;0;0;0
194;0;0;0;0
195;0;0;0;0
196;0;0;0;0
197;0;0;0;0
198;0;0;0;0
199;0;0;0;0
200;0;0;0;0
201;0;0;0,0074514;0
202;0,002029133;0,0141236;0,02490325;0,002529805
203;0,006137725;0,0458495;0,051715;0,00647925
204;0,008420075;0,055821;0,05993275;0,008720625
205;0,2567025;0,2349285;0,06218625;0,27112
206;0,15505575;0,2206925;0,03583175;0,169194
207;0,06138125;0,07876325;0,0188375;0,0663667
208;0,000559553;0,000982963;0,000383385;0,000338
209;0;0;0;0
210;0;0;0;0
211;0;0;0;0
212;0;0;0;0
213;0;0;0;0
214;0;0;0;0
215;0;0;0;0
216;0;0;0;0
217;0;0;0;0
218;0;0;0;0
219;0;0;0;0
220;0;0;0;0
221;0;0;0;0
222;0;0;0;0
223;0;0;0;0
224;0;0;0;0
225;0,004274853;0;0,014234025;0,006919375
226;0,01984925;0,003226788;0,03582;0,02409715
227;0,03238125;0,015320075;0,053018;0,0349925
228;0,04512625;0,022356825;0,05875;0,04837625
229;0,3689425;0,313405;0,05139725;0,344095
230;0,2540575;0,2800275;0,036034;0,2347875
231;0,12047925;0,120713;0,014719575;0,11631975
232;0,0003186;0,00053061;0,000334763;0,000235478
233;0;0;0;0
234;0;0;0;0
235;0;0;0;0
236;0;0;0;0
237;0;0;0;0
238;0;0;0;0
239;0;0;0;0
240;0;0;0;0
241;0;0;0;0
242;0;0;0;0
243;0;0;0;0
244;0;0;0;0
245;0;0;0;0
246;0;0;0;0
247;0;0;0;0
248;0;0;0;0
249;0,11452575;0,0888482;0,06802575;0,12413825
250;0,226475;0,17606525;0,1699515;0,2315765
251;0,3855875;0,22491;0,2081975;0,4524075
252;0,33005;0,2665185;0,218585;0,34089
253;0,182004;0,2294525;0,18384;0,14839625
254;0,17185;0,11620425;0,0984395;0,18531575
255;0,1002385;0,0341015;0,036619525;0,090467
256;0,00068201;0,000333148;0,000574338;0,000341245
257;0;0;0;0
258;0;0;0;0
259;0;0;0;0
260;0;0;0;0
261;0;0;0;0
262;0;0;0;0
263;0;0;0;0
264;0;0;0;0
265;0;0;0;0
266;0;0;0;0
267;0;0;0;0
268;0;0;0;0
269;0;0;0;0
270;0;0;0;0
271;0;0;0;0
272;0;0;0;0
273;0,146885;0,0593665;0,0375524;0,17599625
274;0,2909025;0,10716475;0,0658525;0,3192325
275;0,39239;0,20536925;0,11031025;0,4168075
276;0,38158;0,1997075;0,128533;0,42954
277;0,3429025;0,1749555;0,09026425;0,36593
278;0,265968;0,09704125;0,1935495;0,2714075
279;0,11933225;0,05517125;0,07799475;0,11188375
