index;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east
0;0;0;0;0
1;0;0;0;0
2;0;0;0;0
3;0;0;0;0
4;0;0;0;0
5;0;0;0;0
6;0;0;0;0
7;0;0;0;0
8;0;0;0;0
9;0,075171536;0,020438331;0,019772958;0,078477142
10;0,045370275;0,048720138;0,043988384;0,042747596
11;0,125250497;0,083127509;0,068641374;0,108940863
12;0,206898355;0,075677965;0,06487639;0,240009557
13;0,195200562;0,065322572;0,04394745;0,205555954
14;0,340782118;0,069351703;0,025051496;0,321205934
15;0,057902644;0,032538002;0,008038516;0,056431421
16;0,000132179;7,78E-05;7,84E-05;0,000107505
17;0;0;0;0
18;0;0;0;0
19;0;0;0;0
20;0;0;0;0
21;0;0;0;0
22;0;0;0;0
23;0;0;0;0
24;0;0;0;0
25;0;0;0;0
26;0;0;0;0
27;0;0;0;0
28;0;0;0;0
29;0;0;0;0
30;0;0;0;0
31;0;0;0;0
32;0;0;0;0
33;0,010929892;0,013596563;0,013136486;0,01401898
34;0,026022119;0,036077728;0,032535233;0,029331048
35;0,031995142;0,054812112;0,044245066;0,034481775
36;0,038430963;0,060035799;0,035181991;0,04035439
37;0,046071695;0,051207734;0,030753873;0,048038463
38;0,030802994;0,035982375;0,022961203;0,031163696
39;0,01032474;0,013189629;0,008734036;0,009625367
40;7,15E-05;7,49E-05;0,000116244;4,08E-05
41;0;0;0;0
42;0;0;0;0
43;0;0;0;0
44;0;0;0;0
45;0;0;0;0
46;0;0;0;0
47;0;0;0;0
48;0;0;0;0
49;0;0;0;0
50;0;0;0;0
51;0;0;0;0
52;0;0;0;0
53;0;0;0;0
54;0;0;0;0
55;0;0;0;0
56;0;0;0;0
57;0,21797732;0,03301385;0,007705408;0,256532289
58;0,355320987;0,057777434;0,021214757;0,380023579
59;0,339917684;0,049608892;0,036221961;0,352867342
60;0,187671557;0,050660179;0,037141054;0,136958645
61;0,126013559;0,03913142;0,032292276;0,119601817
62;0,100224044;0,026631797;0,027244606;0,109726559
63;0,038601466;0,006222939;0,010086888;0,045159849
64;0,000659234;0;0,00010458;0,000323236
65;0;0;0;0
66;0;0;0;0
67;0;0;0;0
68;0;0;0;0
69;0;0;0;0
70;0;0;0;0
71;0;0;0;0
72;0;0;0;0
73;0;0;0;0
74;0;0;0;0
75;0;0;0;0
76;0;0;0;0
77;0;0;0;0
78;0;0;0;0
79;0;0;0;0
80;0;0;0;0
81;0,191997099;0,030488282;0,021877723;0,213733405
82;0,322684382;0,061653423;0,04658867;0,370512395
83;0,43371;0,091831085;0,069656783;0,452012408
84;0,434025435;0,109185505;0,079383474;0,431253947
85;0,375121106;0,092283289;0,067634874;0,380572579
86;0,325581079;0,089548642;0,049866055;0,317822842
87;0,130687042;0,0280258;0,018332097;0,100736685
88;0,000521406;0,000132227;0,000205497;0,000246882
89;0;0;0;0
90;0;0;0;0
91;0;0;0;0
92;0;0;0;0
93;0;0;0;0
94;0;0;0;0
95;0;0;0;0
96;0;0;0;0
97;0;0;0;0
98;0;0;0;0
99;0;0;0;0
100;0;0;0;0
101;0;0;0;0
102;0;0;0;0
103;0;0;0;0
104;0;0;0;0
105;0,008218915;0,15435135;0,163935494;0,010971765
106;0,0278526;0,267777158;0,290548618;0,031023075
107;0,037580736;0,337153421;0,344049632;0,039668862
108;0,044315376;0,37241704;0,406394842;0,047412892
109;0,037580254;0,338516289;0,358304369;0,038107583
110;0,026526813;0,249860013;0,268603066;0,026375357
111;0,010086141;0,105477347;0,118620841;0,009396906
112;8,82E-05;0,000153125;0,000364218;6,37E-05
113;0;0;0;0
114;0;0;0;0
115;0;0;0;0
116;0;0;0;0
117;0;0;0;0
118;0;0;0;0
119;0;0;0;0
120;0;0;0;0
121;0;0;0;0
122;0;0;0;0
123;0;0;0;0
124;0;0;0;0
125;0;0;0;0
126;0;0;0;0
127;0;0;0;0
128;0;0;0;0
129;0,105541397;0,009215398;0,006904566;0,113283983
130;0,200924369;0,019347675;0,009525632;0,240432865
131;0,277594145;0,031220763;0,017521046;0,313786729
132;0,323392784;0,040886053;0,026771215;0,313361013
133;0,273585;0,301267362;0,257914421;0,266994592
134;0,163992079;0,20218129;0,169554557;0,165513146
135;0,10127533;0,093777146;0,095512299;0,090401037
136;0,000306934;0,000210428;0,000393932;0,000204462
137;0;0;0;0
138;0;0;0;0
139;0;0;0;0
140;0;0;0;0
141;0;0;0;0
142;0;0;0;0
143;0;0;0;0
144;0;0;0;0
145;0;0;0;0
146;0;0;0;0
147;0;0;0;0
148;0;0;0;0
149;0;0;0;0
150;0;0;0;0
151;0;0;0;0
152;0;0;0;0
153;0,039347408;0,002572742;0,020181914;0,049945035
154;0,085247901;0,008986697;0,036188491;0,097444611
155;0,123393288;0,016459646;0,057023522;0,142267812
156;0,136024141;0,015808551;0,062188457;0,151928045
157;0,139767695;0,313724605;0,049538582;0,172835795
158;0,110616276;0,243917329;0,031916645;0,137762641
159;0,038346205;0,116157805;0,012526543;0,040759879
160;0,000286715;0,000280062;0,00029797;0,000171163
161;0;0;0;0
162;0;0;0;0
163;0;0;0;0
164;0;0;0;0
165;0;0;0;0
166;0;0;0;0
167;0;0;0;0
168;0;0;0;0
169;0;0;0;0
170;0;0;0;0
171;0;0;0;0
172;0;0;0;0
173;0;0;0;0
174;0;0;0;0
175;0;0;0;0
176;0;0;0;0
177;0,011499239;0;0,029234491;0,0138054
178;0,034235207;0,00350563;0,044400375;0,03673725
179;0,0451278;0,0172216;0,053620927;0,047252045
180;0,062304277;0,02246614;0,045373646;0,063326909
181;0,050928178;0,350360723;0,056282372;0,05110877
182;0,032740867;0,244292961;0,043034135;0,032220521
183;0,01317653;0,113044157;0,017901132;0,012424231
184;0,000137968;0,000482061;0,000382247;8,75E-05
185;0;0;0;0
186;0;0;0;0
187;0;0;0;0
188;0;0;0;0
189;0;0;0;0
190;0;0;0;0
191;0;0;0;0
192;0;0;0;0
193;0;0;0;0
194;0;0;0;0
195;0;0;0;0
196;0;0;0;0
197;0;0;0;0
198;0;0;0;0
199;0;0;0;0
200;0;0;0;0
201;0;0;0,007973214;0
202;0,002398502;0,014617535;0,025723058;0,002880052
203;0,006716052;0,046588911;0,052482474;0,007059538
204;0,008943258;0,056385431;0,06058841;0,009261558
205;0,281954842;0,256132579;0,062808489;0,299698619
206;0,170787158;0,252679658;0,036269396;0,189321928
207;0,070242865;0,095401271;0,019265325;0,07746012
208;0,000700818;0,001343574;0,000395706;0,000437226
209;0;0;0;0
210;0;0;0;0
211;0;0;0;0
212;0;0;0;0
213;0;0;0;0
214;0;0;0;0
215;0;0;0;0
216;0;0;0;0
217;0;0;0;0
218;0;0;0;0
219;0;0;0;0
220;0;0;0;0
221;0;0;0;0
222;0;0;0;0
223;0;0;0;0
224;0;0;0;0
225;0,004803509;0;0,014771519;0,007422986
226;0,020594724;0,003602678;0,036578329;0,024743045
227;0,03291857;0,016040576;0,053738432;0,035536674
228;0,045639959;0,022960071;0,059397707;0,048867502
229;0,412888934;0,351030119;0,051987892;0,385255934
230;0,292193211;0,324629961;0,036557139;0,27225825
231;0,154557948;0,158109111;0,015079441;0,149258412
232;0,000458995;0,000811899;0,000351447;0,000341608
233;0;0;0;0
234;0;0;0;0
235;0;0;0;0
236;0;0;0;0
237;0;0;0;0
238;0;0;0;0
239;0;0;0;0
240;0;0;0;0
241;0;0;0;0
242;0;0;0;0
243;0;0;0;0
244;0;0;0;0
245;0;0;0;0
246;0;0;0;0
247;0;0;0;0
248;0;0;0;0
249;0,161584184;0,111055645;0,078764163;0,158156546
250;0,276876592;0,200612065;0,188440157;0,274323502
251;0,444523855;0,2518995;0,222304066;0,521879882
252;0,378121342;0,297314321;0,232589388;0,390587013
253;0,199233063;0,249599961;0,195660711;0,165927304
254;0,18737996;0,12620908;0,10420309;0,20259328
255;0,120788187;0,036604334;0,038255355;0,107638674
256;0,000943127;0,00035405;0,000585761;0,00046462
257;0;0;0;0
258;0;0;0;0
259;0;0;0;0
260;0;0;0;0
261;0;0;0;0
262;0;0;0;0
263;0;0;0;0
264;0;0;0;0
265;0;0;0;0
266;0;0;0;0
267;0;0;0;0
268;0;0;0;0
269;0;0;0;0
270;0;0;0;0
271;0;0;0;0
272;0;0;0;0
273;0,217984303;0,066379638;0,038184274;0,219116735
274;0,371292553;0,114481429;0,06667003;0,38385454
275;0,463519737;0,216215463;0,111066793;0,492363908
276;0,450772342;0,210850192;0,130523305;0,507976698
