name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;existing_factor;EE_factor;potential
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;;;MW
description;;;investment costs for the year 2020 for biogas upgrading plant;investment costs for the year 2025 for biogas upgrading plant;investment costs for the year 2030 for biogas upgrading plant;investment costs for the year 2035 for biogas upgrading plant;investment costs for the year 2040 for biogas upgrading plant;investment costs for the year 2045 for biogas upgrading plant;investment costs for the year 2050 for biogas upgrading plant;operating costs for the year 2020 for biogas upgrading plant;operating costs for the year 2025 for biogas upgrading plant;operating costs for the year 2030 for biogas upgrading plant;operating costs for the year 2035 for biogas upgrading plant;operating costs for the year 2040 for biogas upgrading plant;operating costs for the year 2045 for biogas upgrading plant;operating costs for the year 2050 for biogas upgrading plant;lifetime for the year 2020 for biogas upgrading plant;lifetime for the year 2025 for biogas upgrading plant;lifetime for the year 2030 for biogas upgrading plant;lifetime for the year 2035 for biogas upgrading plant;lifetime for the year 2040 for biogas upgrading plant;lifetime for the year 2045 for biogas upgrading plant;lifetime for the year 2050 for biogas upgrading plant;efficiency for the year 2020 for biogas upgrading plant;efficiency for the year 2025 for biogas upgrading plant;efficiency for the year 2030 for biogas upgrading plant;efficiency for the year 2035 for biogas upgrading plant;efficiency for the year 2040 for biogas upgrading plant;efficiency for the year 2045 for biogas upgrading plant;efficiency for the year 2050 for biogas upgrading plant;existing f for the year ctor for biogas upgrading plant;EE f for the year ctor for biogas upgrading plant;
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;250000;;250000;;250000;;;5;;5;;5;;;25;;25;;25;;;90;;90;;90;1;-1;
data;2;BS0002;596006,7568;498647,2973;422037,8379;362028,3784;314468,9189;275159,4595;240000;3;3;3;3;3;3;3;25;25;25;25;25;25;25;88;88;88;88;88;88;88;1;-1;
data;3;BS0003;624760,1351;541620,946;468856,7568;404392,5676;346153,3784;292039,1892;240000;3;3;3;3;3;3;3;25;25;25;25;25;25;25;88;88;88;88;88;88;88;1;-1;
data;4;BS0004;567253,3784;455673,6487;375218,9189;319664,1892;282784,4595;258279,7297;240000;3;3;3;3;3;3;3;25;25;25;25;25;25;25;88;88;88;88;88;88;88;1;-1;
data;5;BS0005;596000;499000;422000;362000;315000;275000;240000;3;3;3;3;3;3;3;25;25;25;25;25;25;25;88;88;88;88;88;88;88;1;-1;
data;6;BS0006;596000;499000;422000;362000;315000;275000;240000;3;3;3;3;3;3;3;25;25;25;25;25;25;25;88;88;88;88;88;88;88;1;-1;297
