name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_el_2020;efficiency_el_2025;efficiency_el_2030;efficiency_el_2035;efficiency_el_2040;efficiency_el_2045;efficiency_el_2050;existing_factor;EE_factor
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;;
description;;;investment costs for the year 2020 for biomass combined heat and power plant;investment costs for the year 2025 for biomass combined heat and power plant;investment costs for the year 2030 for biomass combined heat and power plant;investment costs for the year 2035 for biomass combined heat and power plant;investment costs for the year 2040 for biomass combined heat and power plant;investment costs for the year 2045 for biomass combined heat and power plant;investment costs for the year 2050 for biomass combined heat and power plant;operating costs for the year 2020 for biomass combined heat and power plant;operating costs for the year 2025 for biomass combined heat and power plant;operating costs for the year 2030 for biomass combined heat and power plant;operating costs for the year 2035 for biomass combined heat and power plant;operating costs for the year 2040 for biomass combined heat and power plant;operating costs for the year 2045 for biomass combined heat and power plant;operating costs for the year 2050 for biomass combined heat and power plant;lifetime for the year 2020 for biomass combined heat and power plant;lifetime for the year 2025 for biomass combined heat and power plant;lifetime for the year 2030 for biomass combined heat and power plant;lifetime for the year 2035 for biomass combined heat and power plant;lifetime for the year 2040 for biomass combined heat and power plant;lifetime for the year 2045 for biomass combined heat and power plant;lifetime for the year 2050 for biomass combined heat and power plant;efficiency el for the year 2020 for biomass combined heat and power plant;efficiency el for the year 2025 for biomass combined heat and power plant;efficiency el for the year 2030 for biomass combined heat and power plant;efficiency el for the year 2035 for biomass combined heat and power plant;efficiency el for the year 2040 for biomass combined heat and power plant;efficiency el for the year 2045 for biomass combined heat and power plant;efficiency el for the year 2050 for biomass combined heat and power plant;existing f for the year ctor for biomass combined heat and power plant;EE f for the year ctor for biomass combined heat and power plant
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;3294000;;3290000;;3287000;;;5;;5;;5;;;30;;30;;30;;;30;;30;;30;0;-1
data;2;BS0002;;;3294000;;3290000;;3287000;;;5;;5;;5;;;30;;30;;30;;;30;;30;;30;0;-1
data;3;BS0003;;;3294000;;3290000;;3287000;;;5;;5;;5;;;30;;30;;30;;;30;;30;;30;0;-1
data;4;BS0004;;;3294000;;3290000;;3287000;;;5;;5;;5;;;30;;30;;30;;;30;;30;;30;0;-1
data;5;BS0005;3297000;3296000;3295000;3294000;3293000;3290000;3287000;5;5;5;5;5;5;5;30;30;30;30;30;30;30;30;30;30;30;30;30;30;0;-1
data;6;BS0006;3297000;3296000;3295000;3294000;3293000;3290000;3287000;5;5;5;5;5;5;5;30;30;30;30;30;30;30;30;30;30;30;30;30;30;0;-1
