name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;existing_factor;EE_factor
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;;
description;;;investment costs for the year 2020 for biomethane injection plant;investment costs for the year 2025 for biomethane injection plant;investment costs for the year 2030 for biomethane injection plant;investment costs for the year 2035 for biomethane injection plant;investment costs for the year 2040 for biomethane injection plant;investment costs for the year 2045 for biomethane injection plant;investment costs for the year 2050 for biomethane injection plant;operating costs for the year 2020 for biomethane injection plant;operating costs for the year 2025 for biomethane injection plant;operating costs for the year 2030 for biomethane injection plant;operating costs for the year 2035 for biomethane injection plant;operating costs for the year 2040 for biomethane injection plant;operating costs for the year 2045 for biomethane injection plant;operating costs for the year 2050 for biomethane injection plant;lifetime for the year 2020 for biomethane injection plant;lifetime for the year 2025 for biomethane injection plant;lifetime for the year 2030 for biomethane injection plant;lifetime for the year 2035 for biomethane injection plant;lifetime for the year 2040 for biomethane injection plant;lifetime for the year 2045 for biomethane injection plant;lifetime for the year 2050 for biomethane injection plant;efficiency for the year 2020 for biomethane injection plant;efficiency for the year 2025 for biomethane injection plant;efficiency for the year 2030 for biomethane injection plant;efficiency  for the year 0235 for biomethane injection plant;efficiency for the year 2040 for biomethane injection plant;efficiency for the year 2045 for biomethane injection plant;efficiency for the year 2050 for biomethane injection plant;existing f for the year ctor for biomethane injection plant;EE f for the year ctor for biomethane injection plant
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;2150000;;2150000;;2150000;;;5;;5;;5;;;25;;25;;25;;;90;;90;;90;0;-1
data;2;BS0002;2150000;2150000;2150000;2150000;2150000;2150000;2150000;5;5;5;5;5;5;5;25;25;25;25;25;25;25;90;90;90;90;90;90;90;0;-1
data;3;BS0003;2150000;2150000;2150000;2150000;2150000;2150000;2150000;5;5;5;5;5;5;5;25;25;25;25;25;25;25;90;90;90;90;90;90;90;0;-1
data;4;BS0004;2150000;2150000;2150000;2150000;2150000;2150000;2150000;5;5;5;5;5;5;5;25;25;25;25;25;25;25;90;90;90;90;90;90;90;0;-1
data;5;BS0005;752000;633000;552000;504000;479000;470000;469000;4;4;4;4;4;4;4;25;25;25;25;25;25;25;88;88;88;88;88;88;88;0;-1
data;6;BS0006;752000;633000;552000;504000;479000;470000;469000;4;4;4;4;4;4;4;25;25;25;25;25;25;25;88;88;88;88;88;88;88;0;-1
