name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent
description;;;investment costs for the year 2020 for electrolysis;investment costs for the year 2025 for electrolysis;investment costs for the year 2030 for electrolysis;investment costs for the year 2035 for electrolysis;investment costs for the year 2040 for electrolysis;investment costs for the year 2045 for electrolysis;investment costs for the year 2050 for electrolysis;operating costs for the year 2020 for electrolysis;operating costs for the year 2025 for electrolysis;operating costs for the year 2030 for electrolysis;operating costs for the year 2035 for electrolysis;operating costs for the year 2040 for electrolysis;operating costs for the year 2045 for electrolysis;operating costs for the year 2050 for electrolysis;lifetime for the year 2020 for electrolysis;lifetime for the year 2025 for electrolysis;lifetime for the year 2030 for electrolysis;lifetime for the year 2035 for electrolysis;lifetime for the year 2040 for electrolysis;lifetime for the year 2045 for electrolysis;lifetime for the year 2050 for electrolysis;efficiency for the year 2020 for electrolysis;efficiency for the year 2025 for electrolysis;efficiency for the year 2030 for electrolysis;efficiency  for the year 0235 for electrolysis;efficiency for the year 2040 for electrolysis;efficiency for the year 2045 for electrolysis;efficiency for the year 2050 for electrolysis
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;733300;;666700;;600000;;;0,83;;0,83;;0,83;;;16;;16;;16;;;84;;84;;84
data;2;BS0002;800000;724166,6667;640000;567000;455000;445833,3334;400000;4;4;4;4;4;4;4;20;22,5;25;25;25;25;25;65;67,5833333;67,6666667;67,75;68,3;69,45;70,6
data;3;BS0003;893750;773958,3333;662500;596000;530500;510416,6667;471250;4;4;4;4;4;4;4;25;25;25;26;28;29;30;68,75;71,875;71,25;71;71,75;72,5;73,25
data;4;BS0004;753500;685750;617250;546250;442500;387500;317500;3,5;3,4;3,3;3,5;3,6;3,8;3,9;18,5;18,5;18,5;18,5;18,5;18,5;18,5;64,875;65,7;66,525;67,225;67,36666667;68,13333333;70,15
data;5;BS0005;800000;696000;622000;548000;455000;423000;400000;4;4;4;4;4;4;4;20;20;20;20;20;20;20;65;68;68;68;68;70;71
data;6;BS0006;800000;696000;622000;548000;455000;423000;400000;4;4;4;4;4;4;4;20;20;20;20;20;20;20;65;68;68;68;68;70;71
