name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;efficiency_th_2020;efficiency_th_2025;efficiency_th_2030;efficiency_th_2035;efficiency_th_2040;efficiency_th_2045;efficiency_th_2050
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent
description;;;investment costs for the year 2020 for fuel cells;investment costs for the year 2025 for fuel cells;investment costs for the year 2030 for fuel cells;investment costs for the year 2035 for fuel cells;investment costs for the year 2040 for fuel cells;investment costs for the year 2045 for fuel cells;investment costs for the year 2050 for fuel cells;operating costs for the year 2020 for fuel cells;operating costs for the year 2025 for fuel cells;operating costs for the year 2030 for fuel cells;operating costs for the year 2035 for fuel cells;operating costs for the year 2040 for fuel cells;operating costs for the year 2045 for fuel cells;operating costs for the year 2050 for fuel cells;lifetime for the year 2020 for fuel cells;lifetime for the year 2025 for fuel cells;lifetime for the year 2030 for fuel cells;lifetime for the year 2035 for fuel cells;lifetime for the year 2040 for fuel cells;lifetime for the year 2045 for fuel cells;lifetime for the year 2050 for fuel cells;efficiency for the year 2020 for fuel cells;efficiency for the year 2025 for fuel cells;efficiency for the year 2030 for fuel cells;efficiency  for the year 0235 for fuel cells;efficiency for the year 2040 for fuel cells;efficiency for the year 2045 for fuel cells;efficiency for the year 2050 for fuel cells;efficiency th for the year 2020 for fuel cells;efficiency th for the year 2025 for fuel cells;efficiency th for the year 2030 for fuel cells;efficiency th for the year 2035 for fuel cells;efficiency th for the year 2040 for fuel cells;efficiency th for the year 2045 for fuel cells;efficiency th for the year 2050 for fuel cells
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;900000;;800000;;700000;;;2;;2;;2;;;20;;20;;20;;;60;;60;;60;;;;;;;
data;2;BS0002;2327000;2127716,667;1928433,334;1729150;1529866,667;1330583,334;1131,3;5;5;5;5;5;5;5;10;10;10;10;10;10;10;51;51;51;51;51;51;51;44;44;44;44;44;44;44
data;3;BS0003;2327000;2134275;1941550;1748825;1556100;1363375;1170,65;5;5;5;5;5;5;5;10;10;10;10;10;10;10;51;51;51;51;51;51;51;44;44;44;44;44;44;44
data;4;BS0004;2327000;2121158,333;1915316,667;1709475;1503633,333;1297791,667;1091,95;5;5;5;5;5;5;5;10;10;10;10;10;10;10;51;51;51;51;51;51;51;44;44;44;44;44;44;44
data;5;BS0005;2327000;2128000;1928000;1729000;1530000;1331000;1131000;3;3;3;3;3;3;3;10;10;10;10;10;10;10;51;51;51;51;51;51;51;44;44;44;44;44;44;44
data;6;BS0006;2327000;2128000;1928000;1729000;1530000;1331000;1131000;3;3;3;3;3;3;3;10;10;10;10;10;10;10;51;51;51;51;51;51;51;44;44;44;44;44;44;44
