name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;COP;COP;COP;COP;COP;COP;COP
description;;;investment costs for the year 2020 for heat pump air Umgebungswa_rme;investment costs for the year 2025 for heat pump air Umgebungswa_rme;investment costs for the year 2030 for heat pump air Umgebungswa_rme;investment costs for the year 2035 for heat pump air Umgebungswa_rme;investment costs for the year 2040 for heat pump air Umgebungswa_rme;investment costs for the year 2045 for heat pump air Umgebungswa_rme;investment costs for the year 2050 for heat pump air Umgebungswa_rme;operating costs for the year 2020 for heat pump air Umgebungswa_rme;operating costs for the year 2025 for heat pump air Umgebungswa_rme;operating costs for the year 2030 for heat pump air Umgebungswa_rme;operating costs for the year 2035 for heat pump air Umgebungswa_rme;operating costs for the year 2040 for heat pump air Umgebungswa_rme;operating costs for the year 2045 for heat pump air Umgebungswa_rme;operating costs for the year 2050 for heat pump air Umgebungswa_rme;lifetime for the year 2020 for heat pump air Umgebungswa_rme;lifetime for the year 2025 for heat pump air Umgebungswa_rme;lifetime for the year 2030 for heat pump air Umgebungswa_rme;lifetime for the year 2035 for heat pump air Umgebungswa_rme;lifetime for the year 2040 for heat pump air Umgebungswa_rme;lifetime for the year 2045 for heat pump air Umgebungswa_rme;lifetime for the year 2050 for heat pump air Umgebungswa_rme;efficiency for the year 2020 for heat pump air Umgebungswa_rme;efficiency for the year 2025 for heat pump air Umgebungswa_rme;efficiency for the year 2030 for heat pump air Umgebungswa_rme;efficiency  for the year 0235 for heat pump air Umgebungswa_rme;efficiency for the year 2040 for heat pump air Umgebungswa_rme;efficiency for the year 2045 for heat pump air Umgebungswa_rme;efficiency for the year 2050 for heat pump air Umgebungswa_rme
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;1185000;;1021000;;956000;;;3,5;;3,5;;3,5;;;20;;20;;20;3,5;3,5;3,5;3,5;3,5;3,5;3,5
data;2;BS0002;907250;885750;817500;804080;789000;755500;722000;1;1;1;1;1;1;1;22,5;22,5;22,5;22,5;22,5;22,5;22,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5
data;3;BS0003;933375;921625;839250;817870;800540;772040;757040;1;1;1;1;1;1;1;23,75;23,75;23,75;23,75;23,75;23,75;23,75;3,5;3,5;3,5;3,5;3,5;3,5;3,5
data;4;BS0004;890000;852750;813290;792500;766250;734000;688000;0,95;0,95;0,95;0,95;0,95;0,95;0,95;21,25;21,25;21,25;21,25;21,25;21,25;21,25;3,5;3,5;3,5;3,5;3,5;3,5;3,5
data;5;BS0005;907000;886000;818000;804000;789000;756000;722000;1;1;1;1;1;1;1;20;20;20;20;20;20;20;3,5;3,5;3,5;3,5;3,5;3,5;3,5
data;6;BS0006;907000;886000;818000;804000;789000;756000;722000;1;1;1;1;1;1;1;20;20;20;20;20;20;20;3,5;3,5;3,5;3,5;3,5;3,5;3,5
