name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;COP;COP;COP;COP;COP;COP;COP
description;;;investment costs for the year 2020 for heat pump ground Flusswa_rme;investment costs for the year 2025 for heat pump ground Flusswa_rme;investment costs for the year 2030 for heat pump ground Flusswa_rme;investment costs for the year 2035 for heat pump ground Flusswa_rme;investment costs for the year 2040 for heat pump ground Flusswa_rme;investment costs for the year 2045 for heat pump ground Flusswa_rme;investment costs for the year 2050 for heat pump ground Flusswa_rme;operating costs for the year 2020 for heat pump ground Flusswa_rme;operating costs for the year 2025 for heat pump ground Flusswa_rme;operating costs for the year 2030 for heat pump ground Flusswa_rme;operating costs for the year 2035 for heat pump ground Flusswa_rme;operating costs for the year 2040 for heat pump ground Flusswa_rme;operating costs for the year 2045 for heat pump ground Flusswa_rme;operating costs for the year 2050 for heat pump ground Flusswa_rme;lifetime for the year 2020 for heat pump ground Flusswa_rme;lifetime for the year 2025 for heat pump ground Flusswa_rme;lifetime for the year 2030 for heat pump ground Flusswa_rme;lifetime for the year 2035 for heat pump ground Flusswa_rme;lifetime for the year 2040 for heat pump ground Flusswa_rme;lifetime for the year 2045 for heat pump ground Flusswa_rme;lifetime for the year 2050 for heat pump ground Flusswa_rme;efficiency for the year 2020 for heat pump ground Flusswa_rme;efficiency for the year 2025 for heat pump ground Flusswa_rme;efficiency for the year 2030 for heat pump ground Flusswa_rme;efficiency  for the year 0235 for heat pump ground Flusswa_rme;efficiency for the year 2040 for heat pump ground Flusswa_rme;efficiency for the year 2045 for heat pump ground Flusswa_rme;efficiency for the year 2050 for heat pump ground Flusswa_rme
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;1398000;;1315000;;1232000;;;3,5;;3,5;;3,5;;;20;;20;;20;2,5;2,5;2,5;2,5;2,5;2,5;2,5
data;2;BS0002;1739000;1653000;1567500;1479500;1391500;1306000;1220000;1,3;1,1;1;1;1;1;1;20;20;20;20;20;20;20;2,5;2,5;2,5;2,5;2,5;2,5;2,5
data;3;BS0003;1891500;1801000;1710500;1618500;1526500;1436000;1345500;1,3;1,1;1;1;1;1;1;22,5;22,5;22,5;22,5;22,5;22,5;22,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5
data;4;BS0004;1369605;1308105;1220770;1157770;1094770;1034020;972520;1,1;1;0,95;0,95;0,95;0,95;0,95;20;20;20;20;20;20;20;2,5;2,5;2,5;2,5;2,5;2,5;2,5
data;5;BS0005;1739000;1653000;1568000;1480000;1392000;1306000;1220000;1;1;1;1;1;1;1;20;20;20;20;20;20;20;3,5;3,5;3,5;3,5;3,5;3,5;3,5
data;6;BS0006;1739000;1653000;1568000;1480000;1392000;1306000;1220000;1;1;1;1;1;1;1;20;20;20;20;20;20;20;3,5;3,5;3,5;3,5;3,5;3,5;3,5
