name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;potential
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;mwh
description;;;investment costs for the year 2020 for storage electricity pumped hydro storage power technology;investment costs for the year 2025 for storage electricity pumped hydro storage power technology;investment costs for the year 2030 for storage electricity pumped hydro storage power technology;investment costs for the year 2035 for storage electricity pumped hydro storage power technology;investment costs for the year 2040 for storage electricity pumped hydro storage power technology;investment costs for the year 2045 for storage electricity pumped hydro storage power technology;investment costs for the year 2050 for storage electricity pumped hydro storage power technology;operating costs for the year 2020 for storage electricity pumped hydro storage power technology;operating costs for the year 2025 for storage electricity pumped hydro storage power technology;operating costs for the year 2030 for storage electricity pumped hydro storage power technology;operating costs for the year 2035 for storage electricity pumped hydro storage power technology;operating costs for the year 2040 for storage electricity pumped hydro storage power technology;operating costs for the year 2045 for storage electricity pumped hydro storage power technology;operating costs for the year 2050 for storage electricity pumped hydro storage power technology;lifetime for the year 2020 for storage electricity pumped hydro storage power technology;lifetime for the year 2025 for storage electricity pumped hydro storage power technology;lifetime for the year 2030 for storage electricity pumped hydro storage power technology;lifetime for the year 2035 for storage electricity pumped hydro storage power technology;lifetime for the year 2040 for storage electricity pumped hydro storage power technology;lifetime for the year 2045 for storage electricity pumped hydro storage power technology;lifetime for the year 2050 for storage electricity pumped hydro storage power technology;efficiency in for the year 2020 for storage electricity pumped hydro storage power technology;efficiency in for the year 2025 for storage electricity pumped hydro storage power technology;efficiency in for the year 2030 for storage electricity pumped hydro storage power technology;efficiency in for the year 2035 for storage electricity pumped hydro storage power technology;efficiency in for the year 2040 for storage electricity pumped hydro storage power technology;efficiency in for the year 2045 for storage electricity pumped hydro storage power technology;efficiency in for the year 2050 for storage electricity pumped hydro storage power technology;potential
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;35000;;35000;;35000;;;1;;1;;1;;;20;;20;;20;;;0,95;;0,95;;0,95;0,05
data;2;BS0002;;;35000;;35000;;35000;;;1;;1;;1;;;20;;20;;20;;;0,95;;0,95;;0,95;0,05
data;3;BS0003;;;35000;;35000;;35000;;;1;;1;;1;;;20;;20;;20;;;0,95;;0,95;;0,95;0,05
data;4;BS0004;;;35000;;35000;;35000;;;1;;1;;1;;;20;;20;;20;;;0,95;;0,95;;0,95;0,05
data;5;BS0005;;;35000;;35000;;35000;;;1;;1;;1;;;20;;20;;20;;;0,95;;0,95;;0,95;0,05
data;6;BS0006;;;35000;;35000;;35000;;;1;;1;;1;;;20;;20;;20;;;0,95;;0,95;;0,95;0,05
