name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent
description;;;investment costs for the year 2020 for methanation;investment costs for the year 2025 for methanation;investment costs for the year 2030 for methanation;investment costs for the year 2035 for methanation;investment costs for the year 2040 for methanation;investment costs for the year 2045 for methanation;investment costs for the year 2050 for methanation;operating costs for the year 2020 for methanation;operating costs for the year 2025 for methanation;operating costs for the year 2030 for methanation;operating costs for the year 2035 for methanation;operating costs for the year 2040 for methanation;operating costs for the year 2045 for methanation;operating costs for the year 2050 for methanation;lifetime for the year 2020 for methanation;lifetime for the year 2025 for methanation;lifetime for the year 2030 for methanation;lifetime for the year 2035 for methanation;lifetime for the year 2040 for methanation;lifetime for the year 2045 for methanation;lifetime for the year 2050 for methanation;efficiency for the year 2020 for methanation;efficiency for the year 2025 for methanation;efficiency for the year 2030 for methanation;efficiency  for the year 0235 for methanation;efficiency for the year 2040 for methanation;efficiency for the year 2045 for methanation;efficiency for the year 2050 for methanation
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;220000;;220000;;130000;;;2,31;;2,31;;2,31;;;25;;25;;25;;;90;;90;;90
data;2;BS0002;1176000;818000;461000;456000;452000;475000;500000;4,31377551;4,495843521;4,930802603;4,640350877;4,490265487;4,221052632;4,099;21;23;24;26;27;29;30;74,3;74,3;74,3;74,3;74,3;74,3;74,3
data;3;BS0003;1176000;818000;461000;456000;452000;475000;500000;4,31377551;4,495843521;4,930802603;4,640350877;4,490265487;4,221052632;4,099;21;23;24;26;27;29;30;74,3;74,3;74,3;74,3;74,3;74,3;74,3
data;4;BS0004;1176000;818000;461000;456000;452000;475000;500000;4,31377551;4,495843521;4,930802603;4,640350877;4,490265487;4,221052632;4,099;21;23;24;26;27;29;30;74,3;74,3;74,3;74,3;74,3;74,3;74,3
data;5;BS0005;1176000;818000;461000;456000;452000;452000;452000;4;4;4;4;4;4;4;25;25;25;25;25;25;25;90;90;90;90;90;90;90
data;6;BS0006;1176000;818000;461000;456000;452000;452000;452000;4;4;4;4;4;4;4;25;25;25;25;25;25;25;90;90;90;90;90;90;90
