name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;potential_north_max;potential_middle_max;potential_east_max;potential_swest_max;EE_factor;potential_north_min;potential_middle_min;potential_east_min;potential_swest_min
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;mw;mw;mw;mw;;mw;mw;mw;mw
description;;;investment costs for the year 2020 for field photovoltaic power plant;investment costs for the year 2025 for field photovoltaic power plant;investment costs for the year 2030 for field photovoltaic power plant;investment costs for the year 2035 for field photovoltaic power plant;investment costs for the year 2040 for field photovoltaic power plant;investment costs for the year 2045 for field photovoltaic power plant;investment costs for the year 2050 for field photovoltaic power plant;operating costs for the year 2020 for field photovoltaic power plant;operating costs for the year 2025 for field photovoltaic power plant;operating costs for the year 2030 for field photovoltaic power plant;operating costs for the year 2035 for field photovoltaic power plant;operating costs for the year 2040 for field photovoltaic power plant;operating costs for the year 2045 for field photovoltaic power plant;operating costs for the year 2050 for field photovoltaic power plant;lifetime for the year 2020 for field photovoltaic power plant;lifetime for the year 2025 for field photovoltaic power plant;lifetime for the year 2030 for field photovoltaic power plant;lifetime for the year 2035 for field photovoltaic power plant;lifetime for the year 2040 for field photovoltaic power plant;lifetime for the year 2045 for field photovoltaic power plant;lifetime for the year 2050 for field photovoltaic power plant;efficiency for the year 2020 for field photovoltaic power plant;efficiency for the year 2025 for field photovoltaic power plant;efficiency for the year 2030 for field photovoltaic power plant;efficiency  for the year 0235 for field photovoltaic power plant;efficiency for the year 2040 for field photovoltaic power plant;efficiency for the year 2045 for field photovoltaic power plant;efficiency for the year 2050 for field photovoltaic power plant;potential nort for the year _max for field photovoltaic power plant;potential middl for the year _max for field photovoltaic power plant;potential eas for the year _max for field photovoltaic power plant;potential swes for the year _max for field photovoltaic power plant;EE f for the year ctor for field photovoltaic power plant;potential nort for the year _min for field photovoltaic power plant;potential middl for the year _min for field photovoltaic power plant;potential eas for the year _min for field photovoltaic power plant;potential swes for the year _min for field photovoltaic power plant
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;666000;;574500;;483000;;;3,1;;3,1;;3,1;;;25;;25;;25;100;100;100;100;100;100;100;4070;5920;4740;2680;-1;213,2818;193,4952;234,8263;132,0732
data;2;BS0002;648000;570000;450000;410000;370000;345000;320000;1,98;1,98;1,98;1,98;1,98;1,98;1,98;26;26;27;27;28;28;29;100;100;100;100;100;100;100;4070;5920;4740;2680;-1;213,2818;193,4952;234,8263;132,0732
data;3;BS0003;795000;735000;695000;657500;621500;554915;480500;2;2,1575;2,375;2,3825;2,3975;2,405;2,4125;30;30;30;30;30;30;30;100;100;100;100;100;100;100;4070;5920;4740;2680;-1;213,2818;193,4952;234,8263;132,0732
data;4;BS0004;580000;485000;390000;362500;335000;315000;295000;1,765;1,765;1,765;1,765;1,765;1,765;1,765;25;25;25;25;25;25;25;100;100;100;100;100;100;100;4070;5920;4740;2680;-1;213,2818;193,4952;234,8263;132,0732
data;5;BS0005;660000;600000;550000;505000;463000;390000;390000;2;2;2;2;2;2;2;25;25;25;25;25;25;25;100;100;100;100;100;100;100;4070;5920;4740;2680;-1;213,2818;193,4952;234,8263;132,0732
data;6;BS0006;660000;600000;550000;505000;463000;390000;309000;2;2;2;2;2;2;2;25;25;25;25;25;25;25;100;100;100;100;100;100;100;4070;5920;4740;2680;-1;213,2818;193,4952;234,8263;132,0732
