name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;potential_north_max;potential_middle_max;potential_east_max;potential_north_min;potential_swest_min;potential_east_min;potential_middle_min;potential_swest_max;EE_factor
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;mw;mw;mw;mw;mw;mw;mw;mw;
description;;;investment costs for the year 2020 for rooftop photovoltaic power plant;investment costs for the year 2025 for rooftop photovoltaic power plant;investment costs for the year 2030 for rooftop photovoltaic power plant;investment costs for the year 2035 for rooftop photovoltaic power plant;investment costs for the year 2040 for rooftop photovoltaic power plant;investment costs for the year 2045 for rooftop photovoltaic power plant;investment costs for the year 2050 for rooftop photovoltaic power plant;operating costs for the year 2020 for rooftop photovoltaic power plant;operating costs for the year 2025 for rooftop photovoltaic power plant;operating costs for the year 2030 for rooftop photovoltaic power plant;operating costs for the year 2035 for rooftop photovoltaic power plant;operating costs for the year 2040 for rooftop photovoltaic power plant;operating costs for the year 2045 for rooftop photovoltaic power plant;operating costs for the year 2050 for rooftop photovoltaic power plant;lifetime for the year 2020 for rooftop photovoltaic power plant;lifetime for the year 2025 for rooftop photovoltaic power plant;lifetime for the year 2030 for rooftop photovoltaic power plant;lifetime for the year 2035 for rooftop photovoltaic power plant;lifetime for the year 2040 for rooftop photovoltaic power plant;lifetime for the year 2045 for rooftop photovoltaic power plant;lifetime for the year 2050 for rooftop photovoltaic power plant;efficiency for the year 2020 for rooftop photovoltaic power plant;efficiency for the year 2025 for rooftop photovoltaic power plant;efficiency for the year 2030 for rooftop photovoltaic power plant;efficiency  for the year 0235 for rooftop photovoltaic power plant;efficiency for the year 2040 for rooftop photovoltaic power plant;efficiency for the year 2045 for rooftop photovoltaic power plant;efficiency for the year 2050 for rooftop photovoltaic power plant;potential nort for the year _max for rooftop photovoltaic power plant;potential middl for the year _max for rooftop photovoltaic power plant;potential eas for the year _max for rooftop photovoltaic power plant;potential nort for the year _min for rooftop photovoltaic power plant;potential swes for the year _min for rooftop photovoltaic power plant;potential eas for the year _min for rooftop photovoltaic power plant;potential middl for the year _min for rooftop photovoltaic power plant;potential swes for the year _max for rooftop photovoltaic power plant;EE f for the year ctor for rooftop photovoltaic power plant
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;800000;;674000;;547000;;;3,1;;3,1;;3,1;;;25;;25;;25;100;100;100;100;100;100;100;1120;1610;1680;227,8633;214,8234;302,3012;238,8212;1260;-1
data;2;BS0002;996000;861500;734000;660500;597000;576000;560500;2;2;2;2;2;2;2;25,5;25,5;27;27;28;28;29;100;100;100;100;100;100;100;1120;1610;1680;227,8633;214,8234;302,3012;238,8212;1260;-1
data;3;BS0003;1068695;933122,5;815547,5;736972,5;676397,5;615825;571000;2,05;2,05;2,05;2,05;2,05;2,05;2,1;27;27;30;30;30;31,25;32,5;100;100;100;100;100;100;100;1120;1610;1680;227,8633;214,8234;302,3012;238,8212;1260;-1
data;4;BS0004;949500;801000;681000;611000;551500;504750;458000;1,59;1,655;1,78;1,835;1,905;1,98;1,98;20;23,75;23,75;23,75;23,75;23,75;23,75;100;100;100;100;100;100;100;1120;1610;1680;227,8633;214,8234;302,3012;238,8212;1260;-1
data;5;BS0005;1016000;895000;750000;678000;597000;576000;571000;2;2;2;2;2;2;2;25;25;25;25;25;25;25;100;100;100;100;100;100;100;1120;1610;1680;227,8633;214,8234;302,3012;238,8212;1260;-1
data;6;BS0006;1016000;895000;750000;678000;597000;576000;571000;2;2;2;2;2;2;2;25;25;25;25;25;25;25;100;100;100;100;100;100;100;1120;1610;1680;227,8633;214,8234;302,3012;238,8212;1260;-1
