name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_H2;efficiency_el;efficiency_ges
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent
description;;;investment costs for the year 2020 for power to liquid system;investment costs for the year 2025 for power to liquid system;investment costs for the year 2030 for power to liquid system;investment costs for the year 2035 for power to liquid system;investment costs for the year 2040 for power to liquid system;investment costs for the year 2045 for power to liquid system;investment costs for the year 2050 for power to liquid system;operating costs for the year 2020 for power to liquid system;operating costs for the year 2025 for power to liquid system;operating costs for the year 2030 for power to liquid system;operating costs for the year 2035 for power to liquid system;operating costs for the year 2040 for power to liquid system;operating costs for the year 2045 for power to liquid system;operating costs for the year 2050 for power to liquid system;lifetime for the year 2020 for power to liquid system;lifetime for the year 2025 for power to liquid system;lifetime for the year 2030 for power to liquid system;lifetime for the year 2035 for power to liquid system;lifetime for the year 2040 for power to liquid system;lifetime for the year 2045 for power to liquid system;lifetime for the year 2050 for power to liquid system;efficiency for the year 2020 for power to liquid system;efficiency for the year 2025 for power to liquid system;efficiency for the year 2025 for power to liquid system
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;465000;;330000;;195000;;;9,74;;9,74;;9,74;;;25;;25;;25;;;
data;2;BS0002;788000;740000;692000;644000;596000;548000;500000;4;4;4;4;4;4;4;30;30;30;30;30;30;30;38,5;38,5;38,5
data;3;BS0003;915500;839000;762500;718500;674500;633750;593000;4;4;4;4;4;4;4;30;30;30;30;30;30;30;38,5;38,5;38,5
data;4;BS0004;788000;740000;692000;644000;596000;548000;500000;4;4;4;4;4;4;4;30;30;30;30;30;30;30;38,5;38,5;38,5
data;5;BS0005;788000;740000;682000;644000;596000;548000;500000;3;3;3;3;3;3;3;30;30;30;30;30;30;30;38,5;38,5;38,5
data;6;BS0006;788000;740000;682000;644000;596000;548000;500000;3;3;3;3;3;3;3;30;30;30;30;30;30;30;68;32;60
