name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;potential_total;EE_factor;potential_north_min;potential_middle_min;potential_east_min;potential_swest_min
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;eur per mw;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;mw;;mw;mw;mw;mw
description;;;investment costs for the year 2020 for run river power plant;investment costs for the year 2025 for run river power plant;investment costs for the year 2030 for run river power plant;investment costs for the year 2035 for run river power plant;investment costs for the year 2040 for run river power plant;investment costs for the year 2045 for run river power plant;investment costs for the year 2050 for run river power plant;operating costs for the year 2020 for run river power plant;operating costs for the year 2025 for run river power plant;operating costs for the year 2030 for run river power plant;operating costs for the year 2035 for run river power plant;operating costs for the year 2040 for run river power plant;operating costs for the year 2045 for run river power plant;operating costs for the year 2050 for run river power plant;lifetime for the year 2020 for run river power plant;lifetime for the year 2025 for run river power plant;lifetime for the year 2030 for run river power plant;lifetime for the year 2035 for run river power plant;lifetime for the year 2040 for run river power plant;lifetime for the year 2045 for run river power plant;lifetime for the year 2050 for run river power plant;efficiency for the year 2020 for run river power plant;efficiency for the year 2025 for run river power plant;efficiency for the year 2030 for run river power plant;efficiency  for the year 0235 for run river power plant;efficiency for the year 2040 for run river power plant;efficiency for the year 2045 for run river power plant;efficiency for the year 2050 for run river power plant;potential total in Thueringia for run river power plant;EE f for the year ctor for run river power plant;potential nort for the year _min for run river power plant;potential middl for the year _min for run river power plant;potential eas for the year _min for run river power plant;potential swes for the year _min for run river power plant
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;5000000;;5000000;;5000000;;;5;;5;;5;;;60;;60;;60;100;100;100;100;100;100;100;31;-1;0,6375;4,1345;20,85995;6,248
data;2;BS0002;1300000;1300000;1300000;1300000;1300000;1300000;1300000;4;4;4;4;4;4;4;45;45;45;45;45;45;45;100;100;100;100;100;100;100;31;-1;0,6375;4,1345;20,85995;6,248
data;3;BS0003;1300000;1300000;1300000;1300000;1300000;1300000;1300000;4;4;4;4;4;4;4;47,5;47,5;47,5;47,5;47,5;47,5;47,5;100;100;100;100;100;100;100;31;-1;0,6375;4,1345;20,85995;6,248
data;4;BS0004;1000000;1000000;1000000;1000000;1000000;1000000;1000000;3,5;3,5;3,5;3,5;3,5;3,5;3,5;42,5;42,5;42,5;42,5;42,5;42,5;42,5;100;100;100;100;100;100;100;31;-1;0,6375;4,1345;20,85995;6,248
data;5;BS0005;1300000;1300000;1300000;1300000;1300000;1300000;1300000;4;4;4;4;4;4;4;40;40;40;40;40;40;40;100;100;100;100;100;100;100;31;-1;0,6375;4,1345;20,85995;6,248
data;6;BS0006;1300000;1300000;1300000;1300000;1300000;1300000;1300000;4;4;4;4;4;4;4;40;40;40;40;40;40;40;100;100;100;100;100;100;100;31;-1;0,6375;4,1345;20,85995;6,248
