name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_2020;efficiency_2025;efficiency_2030;efficiency_2035;efficiency_2040;efficiency_2045;efficiency_2050;EE_factor
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per m2;eur per m2;eur per m2;eur per m2;eur per m2;eur per m2;eur per m2;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;
description;;;investment costs for the year 2020 for solar thermal power plant;investment costs for the year 2025 for solar thermal power plant;investment costs for the year 2030 for solar thermal power plant;investment costs for the year 2035 for solar thermal power plant;investment costs for the year 2040 for solar thermal power plant;investment costs for the year 2045 for solar thermal power plant;investment costs for the year 2050 for solar thermal power plant;operating costs for the year 2020 for solar thermal power plant;operating costs for the year 2025 for solar thermal power plant;operating costs for the year 2030 for solar thermal power plant;operating costs for the year 2035 for solar thermal power plant;operating costs for the year 2040 for solar thermal power plant;operating costs for the year 2045 for solar thermal power plant;operating costs for the year 2050 for solar thermal power plant;lifetime for the year 2020 for solar thermal power plant;lifetime for the year 2025 for solar thermal power plant;lifetime for the year 2030 for solar thermal power plant;lifetime for the year 2035 for solar thermal power plant;lifetime for the year 2040 for solar thermal power plant;lifetime for the year 2045 for solar thermal power plant;lifetime for the year 2050 for solar thermal power plant;efficiency for the year 2020 for solar thermal power plant;efficiency for the year 2025 for solar thermal power plant;efficiency for the year 2030 for solar thermal power plant;efficiency  for the year 0235 for solar thermal power plant;efficiency for the year 2040 for solar thermal power plant;efficiency for the year 2045 for solar thermal power plant;efficiency for the year 2050 for solar thermal power plant;EE f for the year ctor for solar thermal power plant
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;270;;270;;270;;;1,5;;1,5;;1,5;;;20;;20;;20;100;100;100;100;100;100;100;-1
data;2;BS0002;315;307;300;292,5;285;278,5;272;2,95;2,95;2,95;2,95;2,95;2,95;2,95;25;25;25;25;25;25;25;100;100;100;100;100;100;100;-1
data;3;BS0003;502,5;443;383,75;362;340,25;322,5;305;23,875;21;18,125;16,625;15,125;13,625;12,125;27,5;27,5;27,5;27,5;27,5;27,5;27,5;100;100;100;100;100;100;100;-1
data;4;BS0004;247,5;226,8225;210,2125;193,345;176,4775;159,8675;143;1,35;1,35;1,35;1,35;1,35;1,35;1,35;22,5;22,5;22,5;22,5;22,5;22,5;22,5;100;100;100;100;100;100;100;-1
data;5;BS0005;315;307;300;293;258;279;272;1,4;1,4;1,4;1,4;1,4;1,4;1,4;25;25;25;25;25;25;25;100;100;100;100;100;100;100;-1
data;6;BS0006;315;307;300;293;285;279;272;1,4;1,4;1,4;1,4;1,4;1,4;1,4;25;25;25;25;25;25;25;100;100;100;100;100;100;100;-1
