name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_in_2020;efficiency_in_2025;efficiency_in_2030;efficiency_in_2035;efficiency_in_2040;efficiency_in_2045;efficiency_in_2050;efficiency_out_2020;efficiency_out_2025;efficiency_out_2030;efficiency_out_2035;efficiency_out_2040;efficiency_out_2045;efficiency_out_2050;potential_total;inverse_c_rate;loss_rate;balanced;initial_storage_level;fixed_losses_relative;fixed_losses_absolute
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;
unit;;;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;mwh;;1/h;;;1/h;MWh/h
description;;;investment costs for the year 2020 for storage heat seasonal;investment costs for the year 2025 for storage heat seasonal;investment costs for the year 2030 for storage heat seasonal;investment costs for the year 2035 for storage heat seasonal;investment costs for the year 2040 for storage heat seasonal;investment costs for the year 2045 for storage heat seasonal;investment costs for the year 2050 for storage heat seasonal;operating costs for the year 2020 for storage heat seasonal;operating costs for the year 2025 for storage heat seasonal;operating costs for the year 2030 for storage heat seasonal;operating costs for the year 2035 for storage heat seasonal;operating costs for the year 2040 for storage heat seasonal;operating costs for the year 2045 for storage heat seasonal;operating costs for the year 2050 for storage heat seasonal;lifetime for the year 2020 for storage heat seasonal;lifetime for the year 2025 for storage heat seasonal;lifetime for the year 2030 for storage heat seasonal;lifetime for the year 2035 for storage heat seasonal;lifetime for the year 2040 for storage heat seasonal;lifetime for the year 2045 for storage heat seasonal;lifetime for the year 2050 for storage heat seasonal;efficiency in for the year 2020 for storage heat seasonal;efficiency in for the year 2025 for storage heat seasonal;efficiency in for the year 2030 for storage heat seasonal;efficiency in for the year 2035 for storage heat seasonal;efficiency in for the year 2040 for storage heat seasonal;efficiency in for the year 2045 for storage heat seasonal;efficiency in for the year 2050 for storage heat seasonal;efficiency out for the year 2020 for storage heat seasonal;efficiency out for the year 2025 for storage heat seasonal;efficiency out for the year 2030 for storage heat seasonal;efficiency out for the year 2035 for storage heat seasonal;efficiency out for the year 2040 for storage heat seasonal;efficiency out for the year 2045 for storage heat seasonal;efficiency out for the year 2050 for storage heat seasonal;pote for the year tial for storage heat seasonal;inverse c for the year rate for storage heat seasonal;loss for the year rate for storage heat seasonal;bal for the year nced for storage heat seasonal;initial storage  for the year evel for storage heat seasonal;;
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;750;;750;;750;;;0,25;;0,25;;0,25;;;20;;20;;20;;;100;;100;;100;100;100;100;100;100;100;100;500000;10;0,002094;1;0,5;;
data;2;BS0002;748,3333335;714,2105265;682,5;652,857143;625;596,195652;568,75;0,25;0,25;0,25;0,25;0,25;0,25;0,25;40;40;40;40;40;40;40;100;100;100;100;100;100;100;95;95;95;95;95;95;95;500000;10;0,002094;1;0,5;;
data;3;BS0003;832,5;791,31579;753,75;719,285715;687,5;656,793478;628,125;0,25;0,25;0,25;0,25;0,25;0,25;0,25;40;40;40;40;40;40;40;70;70;70;70;70;70;70;70;70;70;70;70;70;70;500000;10;0,002094;1;0,5;;
data;4;BS0004;664,166667;637,105263;611,25;586,428572;562,5;535,597826;509,375;0,25;0,25;0,25;0,25;0,25;0,25;0,25;40;40;40;40;40;40;40;70;70;70;70;70;70;70;70;70;70;70;70;70;70;500000;10;0,002094;1;0,5;;
data;5;BS0005;450;450;450;450;450;450;450;1;1;1;1;1;1;1;40;40;40;40;40;40;40;100;100;100;100;100;100;100;95;95;95;95;95;95;95;500000;316,4;0,0000113;1;0,5;-0,000000153;
data;6;BS0006;450;450;450;450;450;450;450;1;1;1;1;1;1;1;40;40;40;40;40;40;40;100;100;100;100;100;100;100;95;95;95;95;95;95;95;500000;316,4;0,0000113;1;None;0;xxx
