name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_in_2020;efficiency_in_2025;efficiency_in_2030;efficiency_in_2035;efficiency_in_2040;efficiency_in_2045;efficiency_in_2050;efficiency_out_2020;efficiency_out_2025;efficiency_out_2030;efficiency_out_2035;efficiency_out_2040;efficiency_out_2045;efficiency_out_2050;potential_total;inverse_c_rate;balanced;initial_storage_level
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;bool;float
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
unit;;;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;mwh;;;
description;;;investment costs for the year 2020 for storage hydrogen;investment costs for the year 2025 for storage hydrogen;investment costs for the year 2030 for storage hydrogen;investment costs for the year 2035 for storage hydrogen;investment costs for the year 2040 for storage hydrogen;investment costs for the year 2045 for storage hydrogen;investment costs for the year 2050 for storage hydrogen;operating costs for the year 2020 for storage hydrogen;operating costs for the year 2025 for storage hydrogen;operating costs for the year 2030 for storage hydrogen;operating costs for the year 2035 for storage hydrogen;operating costs for the year 2040 for storage hydrogen;operating costs for the year 2045 for storage hydrogen;operating costs for the year 2050 for storage hydrogen;lifetime for the year 2020 for storage hydrogen;lifetime for the year 2025 for storage hydrogen;lifetime for the year 2030 for storage hydrogen;lifetime for the year 2035 for storage hydrogen;lifetime for the year 2040 for storage hydrogen;lifetime for the year 2045 for storage hydrogen;lifetime for the year 2050 for storage hydrogen;efficiency in for the year 2020 for storage hydrogen;efficiency in for the year 2025 for storage hydrogen;efficiency in for the year 2030 for storage hydrogen;efficiency in for the year 2035 for storage hydrogen;efficiency in for the year 2040 for storage hydrogen;efficiency in for the year 2045 for storage hydrogen;efficiency in for the year 2050 for storage hydrogen;efficiency out for the year 2020 for storage hydrogen;efficiency out for the year 2025 for storage hydrogen;efficiency out for the year 2030 for storage hydrogen;efficiency out for the year 2035 for storage hydrogen;efficiency out for the year 2040 for storage hydrogen;efficiency out for the year 2045 for storage hydrogen;efficiency out for the year 2050 for storage hydrogen;potential  for the year west for storage hydrogen;inverse c for the year rate for storage hydrogen;bal for the year nced for storage hydrogen;initial storage  for the year evel for storage hydrogen
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;53;;53;;53;;;5,47;;5,47;;5,47;;;20;;20;;20;;;100;;100;;100;;;60;;60;;60;1255000;1276,7;1;0,5
data;2;BS0002;53;53;53;53;53;53;53;5,47;5,47;5,47;5,47;5,47;5,47;5,47;20;20;20;20;20;20;20;100;100;100;100;100;100;100;60;60;60;60;60;60;60;1255000;1276,7;1;0,5
data;3;BS0003;53;53;53;53;53;53;53;5,47;5,47;5,47;5,47;5,47;5,47;5,47;20;20;20;20;20;20;20;100;100;100;100;100;100;100;60;60;60;60;60;60;60;1255000;1276,7;1;0,5
data;4;BS0004;53;53;53;53;53;53;53;5,47;5,47;5,47;5,47;5,47;5,47;5,47;20;20;20;20;20;20;20;100;100;100;100;100;100;100;60;60;60;60;60;60;60;1255000;1276,7;1;0,5
data;5;BS0005;750;700;625;600;590;585;575;2;2;2;2;2;2;2;40;40;40;40;40;40;40;70;70;70;70;70;70;70;57;57;57;57;57;57;57;1255000;744;1;0,5
data;6;BS0006;53;53;53;53;53;53;53;5,47;5,47;5,47;5,47;5,47;5,47;5,47;20;20;20;20;20;20;20;100;100;100;100;100;100;100;90;90;90;90;90;90;90;1255000;1276,7;1;None
