;Biomass_2020;Biomass_2025;Biomass_2030;Biomass_2035;Biomass_2040;Biomass_2045;Biomass_2050
0;35,6;35,6;35,6;35,6;35,6;35,6;35,6
1;35,6;35,6;35,6;35,6;35,6;35,6;35,6
2;35,6;35,6;35,6;35,6;35,6;35,6;35,6
3;35,6;35,6;35,6;35,6;35,6;35,6;35,6
4;35,6;35,6;35,6;35,6;35,6;35,6;35,6
5;35,6;35,6;35,6;35,6;35,6;35,6;35,6
6;35,6;35,6;35,6;35,6;35,6;35,6;35,6
7;35,6;35,6;35,6;35,6;35,6;35,6;35,6
8;35,6;35,6;35,6;35,6;35,6;35,6;35,6
9;35,6;35,6;35,6;35,6;35,6;35,6;35,6
10;35,6;35,6;35,6;35,6;35,6;35,6;35,6
11;35,6;35,6;35,6;35,6;35,6;35,6;35,6
12;35,6;35,6;35,6;35,6;35,6;35,6;35,6
13;35,6;35,6;35,6;35,6;35,6;35,6;35,6
14;35,6;35,6;35,6;35,6;35,6;35,6;35,6
15;35,6;35,6;35,6;35,6;35,6;35,6;35,6
16;35,6;35,6;35,6;35,6;35,6;35,6;35,6
17;35,6;35,6;35,6;35,6;35,6;35,6;35,6
18;35,6;35,6;35,6;35,6;35,6;35,6;35,6
19;35,6;35,6;35,6;35,6;35,6;35,6;35,6
20;35,6;35,6;35,6;35,6;35,6;35,6;35,6
21;35,6;35,6;35,6;35,6;35,6;35,6;35,6
22;35,6;35,6;35,6;35,6;35,6;35,6;35,6
23;35,6;35,6;35,6;35,6;35,6;35,6;35,6
24;35,6;35,6;35,6;35,6;35,6;35,6;35,6
25;35,6;35,6;35,6;35,6;35,6;35,6;35,6
26;35,6;35,6;35,6;35,6;35,6;35,6;35,6
27;35,6;35,6;35,6;35,6;35,6;35,6;35,6
28;35,6;35,6;35,6;35,6;35,6;35,6;35,6
29;35,6;35,6;35,6;35,6;35,6;35,6;35,6
30;35,6;35,6;35,6;35,6;35,6;35,6;35,6
31;35,6;35,6;35,6;35,6;35,6;35,6;35,6
32;35,6;35,6;35,6;35,6;35,6;35,6;35,6
33;35,6;35,6;35,6;35,6;35,6;35,6;35,6
34;35,6;35,6;35,6;35,6;35,6;35,6;35,6
35;35,6;35,6;35,6;35,6;35,6;35,6;35,6
36;35,6;35,6;35,6;35,6;35,6;35,6;35,6
37;35,6;35,6;35,6;35,6;35,6;35,6;35,6
38;35,6;35,6;35,6;35,6;35,6;35,6;35,6
39;35,6;35,6;35,6;35,6;35,6;35,6;35,6
40;35,6;35,6;35,6;35,6;35,6;35,6;35,6
41;35,6;35,6;35,6;35,6;35,6;35,6;35,6
42;35,6;35,6;35,6;35,6;35,6;35,6;35,6
43;35,6;35,6;35,6;35,6;35,6;35,6;35,6
44;35,6;35,6;35,6;35,6;35,6;35,6;35,6
