id;electricity_2020;electricity_2025;electricity_2030;electricity_2035;electricity_2040;electricity_2045;electricity_2050
0;105,41;113,86;95,5;108,6;116,07;154,85;156,11
1;104,574;113,85;95,5;111,31;118,95;154,64;160,23
2;103,712;113,73;97,09;108,92;121,54;157,33;163,82
3;104,592;113,85;98,05;109,74;128,18;157,33;160,14
4;104,582;113,88;107,6;112,86;131,82;157,33;160,37
5;104,996;114,8;104,21;119,84;128,18;157,64;163,82
6;105,506;114,65;102,91;114,38;128,18;157,64;160,37
7;106,1;115,72;112,73;118,19;128,18;157,64;163,82
8;107,102;116,41;110,54;120,51;134,53;160;162,95
9;108,724;117,29;110,54;126,69;141,92;162,87;160,12
10;109,736;118,16;115,06;128,53;144,9;165,21;160,28
11;111,122;119,76;114,52;126,97;145,72;157,64;162,95
12;111,16;119,9;124,34;125,78;141,92;161,71;163,6
13;113,706;121,68;125,59;133,79;151,28;161,71;161,55
14;114,362;122,03;130,31;133,91;151,14;162,87;160,37
15;120,024;126,71;140,31;135,45;149,01;163,18;160,14
16;129,134;134,77;142,8;148,66;154,6;163,18;162,95
17;135,076;139,83;144,85;151,4;157,84;162,87;163,6
18;135,258;139,64;146,31;151,47;162,1;165,42;161,55
19;119,522;126,76;148,35;151,22;162,05;167,66;162,95
20;122,788;129,59;144,35;151,66;157,69;166,43;163,6
21;117,746;125,78;144,84;151,53;156,81;168,45;165,95
22;117,412;125,11;144,35;151,66;157,84;171,63;163,6
23;116,904;125,11;148,94;151,66;157,69;168,45;166,14
24;122,788;129,59;144,85;151,66;156,82;171,63;163,6
25;122,944;129,72;144,85;151,66;157,69;165,21;163,6
26;119,888;126,62;144,85;151,66;157,69;166,75;160,28
27;123,012;129,72;145,12;152,6;157,03;161,84;163,26
28;123,268;129,72;145,5;151,66;157,85;162,88;161,98
29;135,132;139,3;146,96;151,22;157,03;162,55;160,14
30;175,824;173,73;148,96;155,96;157,69;167,57;163,26
31;198,288;191,93;148,96;154,59;159,44;166,39;160,14
