id;gas_2020;gas_2025;gas_2030;gas_2035;gas_2040;gas_2045;gas_2050
0;38,6;35,1;23,08;22,56;22,56;20,2;17,6
1;38,6;35,1;23,08;22,56;22,56;20,2;17,6
2;38,6;35,1;23,08;22,56;22,56;20,2;17,6
3;38,6;35,1;23,08;22,56;22,56;20,2;17,6
4;38,6;35,1;23,08;22,56;22,56;20,2;17,6
5;38,6;35,1;23,08;22,56;22,56;20,2;17,6
6;38,6;35,1;23,08;22,56;22,56;20,2;17,6
7;38,6;35,1;23,08;22,56;22,56;20,2;17,6
8;38,6;35,1;23,08;22,56;22,56;20,2;17,6
9;38,6;35,1;23,08;22,56;22,56;20,2;17,6
10;38,6;35,1;23,08;22,56;22,56;20,2;17,6
11;38,6;35,1;23,08;22,56;22,56;20,2;17,6
12;38,6;35,1;23,08;22,56;22,56;20,2;17,6
13;38,6;35,1;23,08;22,56;22,56;20,2;17,6
14;38,6;35,1;23,08;22,56;22,56;20,2;17,6
15;38,6;35,1;23,08;22,56;22,56;20,2;17,6
16;38,6;35,1;23,08;22,56;22,56;20,2;17,6
17;38,6;35,1;23,08;22,56;22,56;20,2;17,6
18;38,6;35,1;23,08;22,56;22,56;20,2;17,6
19;38,6;35,1;23,08;22,56;22,56;20,2;17,6
20;38,6;35,1;23,08;22,56;22,56;20,2;17,6
21;38,6;35,1;23,08;22,56;22,56;20,2;17,6
22;38,6;35,1;23,08;22,56;22,56;20,2;17,6
23;38,6;35,1;23,08;22,56;22,56;20,2;17,6
24;38,6;35,1;23,08;22,56;22,56;20,2;17,6
25;38,6;35,1;23,08;22,56;22,56;20,2;17,6
26;38,6;35,1;23,08;22,56;22,56;20,2;17,6
27;38,6;35,1;23,08;22,56;22,56;20,2;17,6
28;38,6;35,1;23,08;22,56;22,56;20,2;17,6
29;38,6;35,1;23,08;22,56;22,56;20,2;17,6
30;38,6;35,1;23,08;22,56;22,56;20,2;17,6
31;38,6;35,1;23,08;22,56;22,56;20,2;17,6
32;38,6;35,1;23,08;22,56;22,56;20,2;17,6
33;38,6;35,1;23,08;22,56;22,56;20,2;17,6
34;38,6;35,1;23,08;22,56;22,56;20,2;17,6
35;38,6;35,1;23,08;22,56;22,56;20,2;17,6
36;38,6;35,1;23,08;22,56;22,56;20,2;17,6
37;38,6;35,1;23,08;22,56;22,56;20,2;17,6
38;38,6;35,1;23,08;22,56;22,56;20,2;17,6
39;38,6;35,1;23,08;22,56;22,56;20,2;17,6
40;38,6;35,1;23,08;22,56;22,56;20,2;17,6
41;38,6;35,1;23,08;22,56;22,56;20,2;17,6
42;38,6;35,1;23,08;22,56;22,56;20,2;17,6
43;38,6;35,1;23,08;22,56;22,56;20,2;17,6
44;38,6;35,1;23,08;22,56;22,56;20,2;17,6
45;38,6;35,1;23,08;22,56;22,56;20,2;17,6
46;38,6;35,1;23,08;22,56;22,56;20,2;17,6
47;38,6;35,1;23,08;22,56;22,56;20,2;17,6
48;38,6;35,1;23,08;22,56;22,56;20,2;17,6
49;38,6;35,1;23,08;22,56;22,56;20,2;17,6
50;38,6;35,1;23,08;22,56;22,56;20,2;17,6
51;38,6;35,1;23,08;22,56;22,56;20,2;17,6
52;38,6;35,1;23,08;22,56;22,56;20,2;17,6
53;38,6;35,1;23,08;22,56;22,56;20,2;17,6
54;38,6;35,1;23,08;22,56;22,56;20,2;17,6
55;38,6;35,1;23,08;22,56;22,56;20,2;17,6
56;38,6;35,1;23,08;22,56;22,56;20,2;17,6
57;38,6;35,1;23,08;22,56;22,56;20,2;17,6
58;38,6;35,1;23,08;22,56;22,56;20,2;17,6
59;38,6;35,1;23,08;22,56;22,56;20,2;17,6
60;38,6;35,1;23,08;22,56;22,56;20,2;17,6
61;38,6;35,1;23,08;22,56;22,56;20,2;17,6
62;38,6;35,1;23,08;22,56;22,56;20,2;17,6
63;38,6;35,1;23,08;22,56;22,56;20,2;17,6
