;Hard_coal_2020;Hard_coal_2025;Hard_coal_2030;Hard_coal_2035;Hard_coal_2040;Hard_coal_2045;Hard_coal_2050
0;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
1;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
2;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
3;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
4;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
5;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
6;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
7;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
8;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
9;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
10;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
11;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
12;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
13;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
14;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
15;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
16;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
17;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
18;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
19;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
20;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
21;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
22;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
23;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
24;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
25;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
26;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
27;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
28;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
29;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
30;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
31;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
32;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
33;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
34;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
35;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
36;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
37;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
38;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
39;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
40;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
41;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
42;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
43;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
44;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
45;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
46;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
47;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
48;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
49;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
50;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
51;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
52;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
53;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
54;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
55;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
56;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
57;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
58;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
59;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
60;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
61;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
62;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
63;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
64;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
65;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
66;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
