id;hydrogen_2020;hydrogen_2025;hydrogen_2030;hydrogen_2035;hydrogen_2040;hydrogen_2045;hydrogen_2050
0;161,2;151;135;118;100;100;100
1;161,2;151;135;118;100;100;100
2;161,2;151;135;118;100;100;100
3;161,2;151;135;118;100;100;100
4;161,2;151;135;118;100;100;100
5;161,2;151;135;118;100;100;100
6;161,2;151;135;118;100;100;100
7;161,2;151;135;118;100;100;100
8;161,2;151;135;118;100;100;100
9;161,2;151;135;118;100;100;100
10;161,2;151;135;118;100;100;100
11;161,2;151;135;118;100;100;100
12;161,2;151;135;118;100;100;100
13;161,2;151;135;118;100;100;100
14;161,2;151;135;118;100;100;100
15;161,2;151;135;118;100;100;100
16;161,2;151;135;118;100;100;100
17;161,2;151;135;118;100;100;100
18;161,2;151;135;118;100;100;100
19;161,2;151;135;118;100;100;100
20;161,2;151;135;118;100;100;100
21;161,2;151;135;118;100;100;100
22;161,2;151;135;118;100;100;100
23;161,2;151;135;118;100;100;100
24;161,2;151;135;118;100;100;100
25;161,2;151;135;118;100;100;100
26;161,2;151;135;118;100;100;100
27;161,2;151;135;118;100;100;100
28;161,2;151;135;118;100;100;100
29;161,2;151;135;118;100;100;100
30;161,2;151;135;118;100;100;100
31;161,2;151;135;118;100;100;100
32;161,2;151;135;118;100;100;100
33;161,2;151;135;118;100;100;100
34;161,2;151;135;118;100;100;100
35;161,2;151;135;118;100;100;100
36;161,2;151;135;118;100;100;100
37;161,2;151;135;118;100;100;100
38;161,2;151;135;118;100;100;100
39;161,2;151;135;118;100;100;100
40;161,2;151;135;118;100;100;100
41;161,2;151;135;118;100;100;100
42;161,2;151;135;118;100;100;100
43;161,2;151;135;118;100;100;100
44;161,2;151;135;118;100;100;100
45;161,2;151;135;118;100;100;100
46;161,2;151;135;118;100;100;100
47;161,2;151;135;118;100;100;100
48;161,2;151;135;118;100;100;100
49;161,2;151;135;118;100;100;100
50;161,2;151;135;118;100;100;100
51;161,2;151;135;118;100;100;100
52;161,2;151;135;118;100;100;100
53;161,2;151;135;118;100;100;100
54;161,2;151;135;118;100;100;100
55;161,2;151;135;118;100;100;100
56;161,2;151;135;118;100;100;100
57;161,2;151;135;118;100;100;100
58;161,2;151;135;118;100;100;100
59;161,2;151;135;118;100;100;100
60;161,2;151;135;118;100;100;100
61;161,2;151;135;118;100;100;100
62;161,2;151;135;118;100;100;100
63;161,2;151;135;118;100;100;100
64;161,2;151;135;118;100;100;100
65;161,2;151;135;118;100;100;100
66;161,2;151;135;118;100;100;100
67;161,2;151;135;118;100;100;100
68;161,2;151;135;118;100;100;100
69;161,2;151;135;118;100;100;100
70;161,2;151;135;118;100;100;100
71;161,2;151;135;118;100;100;100
72;161,2;151;135;118;100;100;100
73;161,2;151;135;118;100;100;100
74;161,2;151;135;118;100;100;100
75;161,2;151;135;118;100;100;100
76;161,2;151;135;118;100;100;100
77;161,2;151;135;118;100;100;100
78;161,2;151;135;118;100;100;100
79;161,2;151;135;118;100;100;100
80;161,2;151;135;118;100;100;100
81;161,2;151;135;118;100;100;100
82;161,2;151;135;118;100;100;100
83;161,2;151;135;118;100;100;100
84;161,2;151;135;118;100;100;100
85;161,2;151;135;118;100;100;100
86;161,2;151;135;118;100;100;100
87;161,2;151;135;118;100;100;100
88;161,2;151;135;118;100;100;100
