name;wind_east;wind_swest;wind_north;wind_middle
data_type;float;float;float;float
type;number;number;number;number
description;feed-in profile for east Thuringia near Gera; calculation based on {1}; calculation based on {1};feed-in profile for east Thuringia near Gera
unit;MWh_el/MW_el;MWh_el/MW_el;MWh_el/MW_el;MWh_el/MW_el
primary_key;;;;
data;0.03417525;0.065541;0.03417525;0.010715725
data;0.02629525;0.038689;0.03337725;0.012131
data;0.012131;0.01959675;0.012131;0.002469958
data;0.02673775;0.03786275;0.02673775;0.0108305
data;0.02142625;0.038689;0.038689;0.012131
data;0.038689;0.038689;0.038689;0.012131
data;0.02319675;0.034705;0.02585225;0.012131
data;0.038689;0.07005475;0.04939925;0.028951
data;0.04633925;0.066833;0.050607;0.02462475
data;0.1743525;0.2704625;0.2231075;0.1440795
data;0.148595;0.21313;0.1995375;0.1147815
data;0.08684425;0.15705;0.15705;0.08459
data;0.154795;0.2471225;0.206335;0.134103
data;0.2192525;0.33743;0.25902;0.1825425
data;0.1665675;0.254195;0.2267275;0.16328
data;0.32141;0.49937;0.410055;0.3183725
data;0.206335;0.32023;0.2814225;0.1876375
data;0.2301275;0.33295;0.25902;0.1774425
data;0.15705;0.1927375;0.175745;0.1147815
data;0.15705;0.15705;0.15705;0.08459
data;0.1497225;0.1568075;0.15536;0.1328955
data;0.06478;0.0717445;0.067598;0.0497465
data;0.0355905;0.02629525;0.03337725;0.012308
data;0.012131;0.012131;0.012131;0.012131
data;0.0209835;0.0214935;0.019213;0.01443275
data;0.10976625;0.13814;0.10877375;0.08731525
data;0.2703425;0.3531125;0.323055;0.28235
data;0.25902;0.3710375;0.350875;0.2769425
data;0.352215;0.5322325;0.454755;0.39344
data;0.262155;0.38553;0.297105;0.2769425
data;0.2752425;0.3732775;0.315025;0.32555
data;0.1186705;0.13370025;0.13200025;0.118635
data;0.1027035;0.1159875;0.10995;0.08459
data;0.08459;0.08459;0.08459;0.08459
data;0.099082;0.10995025;0.10391275;0.08459
data;0.07846975;0.07923475;0.07846975;0.05327525
data;0.131688;0.1738625;0.143316;0.1243915
data;0.202935;0.25732;0.24395;0.175745
